stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,9.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.41,6.14,0,26.25,0,0,0,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.66,0,0,0,21.23,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.85,0,0,0,33.52,0,0,0,0,0,5.61,0,0,0,0,0,0
 14-21,0,0,0,0,18.18,1.46,0,10.56,0,1,0,4.44,0,0,0,0,0,0,0,0,9.14,0,5.52,110.58,5.92,0.98,0.93,0.82,0,2.34,1.23,7.84,0,6.06,46.03,0,0,0.82,0,0
 24-34,0,0,0.66,0,4.73,0.78,0,24.34,0,1.46,0,5.47,0,0,0,0.73,0,3.34,0,3.42,40.23,0,11.9,396.55,3.23,3.27,0,0,0,0,0,0,0,1.78,65.21,0,0,8.73,0,6.9
 36-46,0,0,0,0,6.11,0,0,33.69,0,6.09,4.8,13.15,0,0.71,0,0,0,0,0,21.76,29.06,1.3,7.8,667.3,1.88,5.25,0.83,0,0,0,0,0,1.12,0,103.78,0,0,3.22,0,2.2
 48-58,0,0,0,0,7.08,0,0,158.69,0,0.89,8.45,31.26,0,1.39,0,0,11.64,0.59,2.43,17.31,51.52,0,6.08,759.03,1.13,4.04,0.44,0,0,4,0,0,0,0,146.77,0,0,13.37,0,3.35
 60-70,0,0,0,0,33.55,0,0,336.27,0,0.8,3.39,24.15,0,2.87,0,0,5.55,0.63,1.63,7.36,79.34,7.43,7.68,813.6,7.66,7.87,0.81,0,0,0,0,0,0,0,100.88,0,0,5.32,0,0.69
 72-82,0,0,1.61,0,5.57,5.91,0,344.14,0.49,0,5.1,26.07,1.37,1.86,5.9,0,12.38,0.53,1.31,6.04,103.57,13.32,6.16,722.65,0,5.81,7.64,0,0,0,0,0,0.53,0,51.51,0,5.48,6.23,3.1,5.15
 84-94,0,0,0,0,3.4,1.3,0,223.84,0,0.78,4.06,24.82,0,0.85,0,0,8.3,0,0,0.56,76.26,13.3,8.85,427.95,0.75,0.9,2.28,0,1.75,0.56,0,0,0,0,21.89,0,3.69,5.4,5.15,8.14
 96-106,0,0,0,0,4.14,0,4.66,275.65,0,0,7.73,22.57,0,0,0.75,0,2.59,0.86,0,2.34,67.2,5.07,4.05,349.65,0,2.36,4.25,0,0,0,0,0,0,0,28.75,0,1.27,11.22,2.98,0.79
108-118,0,0,0,0,8.8,2.43,0,198.65,0,2.93,2.51,17.13,0,0,1.51,0,6.63,0,1.31,2.78,59.4,2.41,2.98,401.33,0.62,8.52,0,0,0,2.1,0,0,0,0,14.73,1.02,0,8.67,1.05,15.45
120,0,0,0,0,28.67,26.36,0,111.34,0,0,0,70.53,0,0,1.85,0,19.75,0,0,0,58.68,8.97,5.23,747.81,0,1.09,0,0,0,3.23,0,0,0,0,16.62,4.02,0,2.66,3.95,0
