stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,0,162.56,0,0,0,0,0,0,0,0,0
  5-6,25.53,117.77,0,0,0,0,0,0,0,9.92,0
  7-9,0,0,0,0,0,0,0,0,3.8,0,0
 14-21,0,0,1.69,0.94,0,0,0,1.02,0,0,0
 24-34,0,0,0,0,0,0,0,1.18,0,0,0
 36-46,0,0,0,0,0,0,0,1.14,0,0,8.81
 48-58,0,0,0,0,6.4,0,0,6.67,0,0,0
 60-70,0,0,0,0,24.63,0,0,2.29,0,0,0
 72-82,0,0,0,0,26.77,0,0,0,0,0,0
 84-94,0,0,0,0,26.86,1.12,0.76,0,0,0,4.7
 96-106,0,0,0.6,0,43.5,0,0,0,0,0,3.63
108-118,0,0,0,0,0,0,0,3.42,0,0,0
120,0,0,1.39,0,23.33,0,0,14.77,0,0,0
