stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,240.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.75,14.63,0,0,32.11,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.58,0,4.07,0,0,0,4.78,0,0,0,0,0,14.31,0,0,0,0,0,0,0,0,0,0,0,196.04,0,0,0,44.45,0,0,0,3.99,0,0,4.47,0,0,0,0,0
 14-21,0,0,2.13,3.55,64.12,13.29,0,34.54,0,0.91,0,26.46,4.18,0,0,0,0,0,0,0,0.88,21.99,0,0,36.16,344.19,6.56,1,3.18,6.84,0,3.84,28.85,6.71,0,31.69,182.35,0,0,0,0,0
 24-34,0,0,1.05,1.63,10.99,2.8,0,52.23,0,4.6,5.51,51.68,2.14,0,0,1.2,7.06,0.64,0.71,0.67,0.69,65.48,1.24,1.52,22.32,776.66,9.64,7.69,13.14,0,0,7.37,0,12.93,1.52,12.67,254.76,0,0,24.16,0,0
 36-46,0,0,0,0,13.78,0.91,0,113.3,0.68,5.8,5.39,67.9,1.74,0,0,0.64,1.47,0,0.65,0.89,5.46,69.68,0,1.77,22.37,896.44,0,8.19,5.09,0,0,19.38,0,2.97,4.89,0,313.01,0,0,4,0,8.42
 48-58,0,0,0,0,4.27,1.4,0,245.79,0.51,0.44,7.41,93.08,0.61,0,3.08,1.9,16.66,0,1.64,2.5,2.31,108.52,0.52,8.22,18.32,1066.61,0.91,1.38,14.02,0,0,7.4,0,10.83,1.28,0,275.38,0,0,2.52,0,15.53
 60-70,0,0,0,0,4.25,0,0,373.85,0.65,13.8,6.87,101.83,3.89,0,2.67,10.51,0,2.96,1.29,8.26,0.95,117.25,2.18,2.3,11.98,925.09,0,5.38,25.68,0,4.02,5.65,0,0,1.63,0,148.85,0,0,1.97,0,30.91
 72-82,0,0,1.32,0,14.78,1.12,0,414.45,2.09,6.54,7.03,189.23,8.24,0,0.9,6.5,2.66,10.38,5.35,1.89,4.11,193.48,3.5,8.57,13.86,957.43,0,9.15,18.36,0,0.87,8.96,0,2.84,3.03,0,94.22,0.71,0.9,2.33,3.52,17.46
 84-94,0,0,0,1.01,17.33,3.64,2.25,194.6,1.35,2.02,7.45,110.91,8.66,0,1.06,1.98,2.06,8.14,5.34,14.66,4.27,103.63,1.73,5.38,9.2,365.81,3.76,15.12,72.08,0,0,15.14,0,3.26,0,0,74.05,2.39,4.47,13.15,2.99,6.43
 96-106,0,0,1.15,0,18.85,16.72,0,189.63,0,1.9,4.33,122.1,10.25,0,0.61,8.65,5.43,9.49,0.99,3.7,2.02,109.81,1.61,2.78,10.52,393.89,0,11.26,38.6,0,0,10.82,0,0,0,0,37.62,2.19,3.95,15.47,0,10.45
108-118,0,0,4.45,0,17.99,6.03,0,149.13,3.94,2.13,4.34,105.01,5.69,0,3.44,10.82,8.97,3.32,0.94,10.61,0,88.97,3.27,1.03,10.29,511.67,2.83,9.01,65.65,0,1.95,5.15,0,4.03,1.36,0,38.91,2.11,3.08,6.85,1.42,0.99
120,1.12,0,0,0,24.6,6.16,0,142.07,0,1.25,0,136.24,14.95,0,4.26,8.06,3.28,2.22,1.13,9.42,0,114.51,0,7.09,8.34,535.14,0,11.19,112.12,0,0,7.41,0,0,0,0,27.2,0,0,11.11,7.46,0
