stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,28.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.41,259.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.79,0,0,0,23.8,0,6.16,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.72,29.46,38.25,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817.03,70.12,0,0,1389.31,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,101.09,137.49,0,0,3.49,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,1275.85,60.08,0,0,1668.15,0,0,12.41,15.48,144.8,0,0,13.93,0,0,0,0,0
 14-21,0.89,4.8,17.64,392.92,62.44,26.57,0,0,0,100.01,37.93,2.47,1.45,0,1.78,0,0.84,0,2.2,180.63,0,0,101.41,2595.66,74.12,0,61.48,467.69,0,75.53,0,998.3,3.75,12.1,159.17,1691.68,0,0,5.45,0,0
 24-34,0,0,12.76,130.28,2.04,46.13,0,1.45,4.08,86.94,13.18,0,6.15,0,0,0,13.36,5.63,0,167.85,1.24,0,86.62,3566.26,27.57,0.77,36.43,1,0,93.78,0,1.02,0,4.37,76.86,1007.93,0,0,22.42,0,2.29
 36-46,0,0,0,13.56,0,33.5,0,0,6.64,40.6,1.86,0,0,0,0,2.31,3.27,0,0,42,1,1.63,23.25,942.39,14.9,0,6.84,0,0,40.53,0,0,0,5.96,0,377.8,0,0,6.49,0,0.72
 48-58,0,0,0,6.32,0,114.88,0,0,12.11,26.53,0,0,1.92,0,0,0,0.49,3.57,0,42.44,0,3.04,17.29,277.61,2.52,0,2.94,0,0.47,3.07,0,0,0,0,0,98.74,0,0,3.74,0.9,0
 60-70,0,0,0,1.1,0,153.66,0.81,0,11.11,5.57,0,0,0,0,0,1.14,0.84,3.3,0,36.34,0,6.33,8.4,148.53,0,0,0,0,1.93,5.81,0,0,0,0,0,26.23,1.22,0,0,0,0
 72-82,0,0,0,0,0,106.51,0,0,5.99,19.28,0,0,2.4,0,0,0,0,0,0,26.36,0,0.49,6.53,103.31,0,0,0.66,0,0,9.9,0,0,0,0,0,24.71,0,0.61,1.35,0,0
 84-94,0,0,0,0.61,0,81.01,0,0,0.67,12.27,2.18,0,0,0,0.69,2,0,0,0,10.59,0,2.54,5.61,42.38,0,0,2.69,0,0,27.23,0,0,0,0,0,14.57,0,0.88,6.43,3.33,0
 96-106,0,0,0,0,0,46.7,0,0,0,8.95,0,0,0,0.9,0,0,0,0,0,5.41,0,0,3.67,36.82,0.7,0,0,0,0,18.35,0,0,0,0,0,9.28,0,0,7.4,0,0
108-118,0,0,0,0,0,40.36,0,0,5.44,10.22,0,0,0,0,0,0,0,0,0,6.2,0,0,3.95,46.03,0,0,0,0,3.53,10.99,0,0,0,0,0,0.63,0,0,1.68,0.72,1.24
120,0,0,0,2.92,0,31.51,0,0,4.92,10.72,0,0,0,0,0,0,0,0,0,3.95,1.31,0,0,58.37,0,0,3.63,0,0,6.51,0,0,0,0,0,1.34,0,0,0,0,0
