stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,52.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.91,0,0,0,0,0,0,0,0,0,0
  5-6,8.83,92.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.43,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.39,0,0,0,13.67,14.36,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.3,9.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.05,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.98,1.09,0,0,0,0,0,0.81,0,0,0,0.84,0,0,0,0.81,0,0,0,0,415.71,2.14,0,0,0,0,1.86,0,0,0,0
 24-34,0,0,0,2.16,0,4.08,0,0.85,0,0,0,3.11,0,0,17.42,11.3,0,6.27,117.08,15.31,0,1.36,0,2058.32,0,0,2.03,1.12,1.8,7.35,0,0,0,0
 36-46,0,0,0,0,0,4.76,0,18.25,0.94,0,1.34,3.14,0,0,2.95,31.69,0.77,2.56,83.15,12.66,0,0,0,2900.82,0,1.82,0,0,0,7.21,0,0,0,0
 48-58,0,0,0,1.13,0,9.8,0,16.93,4.26,0,0,4.58,0,1.59,7.6,2.44,0,0.47,35.81,6.67,0,0,0,1018.77,0,0,0,0,0,11.13,0,0,0,0
 60-70,0,0,0,0.73,0,4.47,0,17.64,0.78,0,0,0,0,0,13.28,0.8,0,0,4.29,1.57,0,0.78,0,464.25,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.3,3.5,0.9,0.89,2.68,0.6,0,0,3.02,0,1.29,11.31,0,0,0,7.17,0.5,0,0.76,0,198.66,0,0,0,0,0,0,0,1.61,0,0.52
 84-94,0,0,0,1.91,0,0,0,18.72,2.5,0.74,0,8.33,1.25,0,8.08,1.3,0,0,3.68,0,0,1.22,0,562.7,0,0,0,0,0,0,0.95,0,0,0
 96-106,0,0,0,2.29,0,2.28,0,14.94,4.36,0,0,0,0.73,1.57,28.37,0.58,0,0,15.61,0.58,0,3.06,0,228.02,0,0,0,0,0,0,4.44,0,2.05,0
108-118,0,0,0.49,7.5,0,8.19,0,28.32,0,0.86,0,12.25,1.54,2.28,20.53,0.45,0,0,3.49,1.12,0.7,3.99,0,254.66,0,0,0,0,0,0,0,1.19,0.44,0
120,0,0,0,0,0,0,0,15.24,0,0,0,6.59,0,0,7.12,4.32,0,0,27.2,3.27,0,0,0,112.66,0,0,0,0,0,0,0,0,25.67,0
