stage,blastomeres,epidermis,eye,glial,gut,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,14.67,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0
  5-6,25.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,25.4,3.69,7.78,0,0,0,0,0
 10-12,0,0,10.33,0,0,0,0,0,0,0,0,36.6,0,35.84,0,0,12.74,0,0
 14-21,0,0.88,0,0.98,0,0,0,0.92,0,0,0,4.31,0,0,0,0.87,0,2.53,0
 24-34,0,0,0,0,1.88,0,0,0,0,0,0.6,4.98,0,0,0,0,0,1.68,3.5
 36-46,0,0,0,0,0,0,0,0,0,0,0,9.69,0,0,0,0,0,0.66,0
 48-58,0,0,2.14,0,0,0,0,1.85,0,0,0,6.89,0,0,0,0,0,0.84,0
 60-70,0,0,1.79,0,0,0,0,0,0,0,2.73,7.81,0,0,0,0,0,0,0
 72-82,0,0,5.61,0,0,0,0.72,2.85,0,0,0,10.01,0,0,0,0,0,2.02,0
 84-94,0,0,5.65,0,1.01,0,0,3.49,0.61,4.03,0,3.85,0,0,0.82,0,0,3.82,0
 96-106,0,0,0.95,0,0,0,0,1.52,0,0,0,7.01,0,0,0,0,0,0,0
108-118,0,0,3.01,0,0,2.91,0,0,0,0,0,9.29,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,9.3,0,0,0,0,0,0,0
