stage,blastomeres,epidermis,eye,glial,ionocyte,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,visceral.smooth.muscle
  3-4,506.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,66.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,19.72,0,3.35,0,0,0,0,0,11.34,0,12.93,0,4.58,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,28.71,0,57.07,0,3.78,0,0,0,0
 14-21,0,0.93,0,0,0,0,0,0,5.94,0,0,0,0,1.04,1.84,0,0
 24-34,0,0,0,0,0,0,0,0,1.55,0.6,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0.59,0
 60-70,0,0,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.23,0.93,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0
108-118,0,0,0,0.91,1.39,0,0.51,0,1.67,0.44,0,0,0,0,0,0,0.62
120,0,1.03,0,0,0,2.37,0,0,7.51,0,0,0,0,0,0,0,0
