stage,epidermis,eye,glial,gut,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,0,5.18,0,0,0
 10-12,0,0,0,0,0,105.86,0,0,0,0,0,0
 14-21,1.77,0,0,0,10.67,57.3,229.2,0,272.18,27.47,0,59.93
 24-34,0,0,0,0,0,0.71,0,0,0,0,0.71,0
 48-58,0,0.41,0,0,0,8.81,0,0,0,0,0,0
 60-70,0,0,0.82,0,0,2.04,0,0,0,0,0,0
 72-82,0,0,0,1.23,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.08,0,0,0,0,0,0
108-118,0,0,1.44,0,0,0.82,0,0.46,0,0,0,0
120,0,0,0,0,0,12.32,0,0,0,0,0,0
