stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,xanthophores
  3-4,30,367.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.55,0,0,0,0,0,0
  5-6,17.09,959.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.77,0,0,0,0,278.88,0,0,0,0,0,0
  7-9,4.99,31.98,0,1139.78,0,0,0,52.08,0,0,0,357.43,0,0,0,0,0,0,0,4658.04,0,0,0,105.4,30.61,0,0,0,0,0,0
 10-12,0,4.72,0,507.69,0,0,0,13.51,0,0,0,87.78,0,0,0,0,0,0,0,2010.64,12.5,0,0,25.49,9.4,15.98,0,0,0,0,0
 14-21,0,0,0,8.14,98.89,0,0,0.88,0.87,0,0.82,10.62,0,7.04,0,0,5.99,0,0,9.32,0,2.63,7.44,0,3.13,0,1.26,0,3.51,0,0
 24-34,0,0,0,0,18.82,0,0,0,4.31,1.67,0,0,0,22.58,0.68,0.9,0.64,1.26,0,23.16,0,9.1,2.58,0,50.78,0,0,1.79,1.14,0,0
 36-46,0,0,0,0,8.96,0,0,0,1.57,0,0,0,0,3.52,0.96,0,0,0,0,5.62,0,4.24,1.99,0,22.71,0.91,0,0.74,1.24,0,0
 48-58,0,0,0,0,18.47,0,0,2.16,2.79,0,0,0,0,1.46,1.48,1.04,0.62,1.8,4.59,6.73,0,6.38,1.71,0,27.48,0,0,0,1.29,0,0
 60-70,0,0,0,0,12.74,0,0,1.52,0.82,0,1.71,0,0,0.67,0.63,0,0,0.65,0,4.65,0,5.94,1.77,0,34.42,0,0,1.87,0,0,2.22
 72-82,0,0,0,0,12.53,0,0,0.68,3.48,0,1.38,0,0,11.11,0,0,0,0,0,5.31,0,7.51,5.36,0,21.33,0,0,0,3.36,1.49,0
 84-94,0,0,0,0,29.43,0,0,0.62,5.36,0.73,3.77,0,0,12.71,3.21,0,0,6.29,0,8.82,0,3.98,4.02,0,56.28,0,0,0,0,1.04,0
 96-106,0,0,1.17,0,14.13,0,0,0,1.97,2.16,5.86,0,0,3.91,4.86,4.34,2.74,6.09,0,0.79,0,14.45,4.16,0,36.72,0,0,0,0,2.39,0
108-118,0,0,0,0,18.83,1.57,1.55,4.91,4.77,0,3.36,0,1.14,12.96,5.19,0.56,1.02,1.27,0,7.74,0,5.02,1.05,0,22.82,0,0,0.43,0,1.24,0
120,0,0,0,0,21.88,0,0,0,8.63,0,1.93,0,0,5.61,1.75,0,0,0,0,14.4,0,8.23,9.87,0,17.55,0,0,0,0,2.06,0
