stage,blastomeres,eye,fin_epithelia,glial,immune,mesenchyme,neural,olfactory,paraxial_mesoderm,spinal_cord,taste,xanthophores
  3-4,10.4,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.2,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,58.86,0,12.72,0,0,0
 10-12,0,0,0,0,0,0,54.09,0,10.55,0,0,0
 24-34,0,0,0,0,0,0,1.73,0,0,0,0,0
 36-46,0,0,4.59,0,0,0,11.66,0,0,0.97,0,1.62
 48-58,0,2.36,0,0,0,5.81,10.3,0,0,2.17,0,0
 60-70,0,3.01,0,0,0,0,43.49,0,0,1.71,0,0
 72-82,0,8.04,0,1.07,0,1.63,73.28,0,0,0,0.74,7.63
 84-94,0,1.68,0,0,0,2.55,65.6,1.05,0,5.39,2.26,2.23
 96-106,0,8.48,0,0,0,4.44,18.17,0,0,4.92,5.29,0
108-118,0,12.72,0,0.87,0.54,2.06,41.02,0,0,0,27.03,0
120,0,57.6,0,0,0,0,215.59,0,0,0,13.95,0
