stage,epidermis,eye,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,8.88,0,0,5.84,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,39.85,4.42,0,0,0,0,0,7.22,0,0,0,0
 14-21,0,0.81,0,0,0.85,0,0,0,0,0.81,3.53,7.01,0,0,0,0,1.86,0,1.01,2.2,0,0,0
 24-34,0,2.54,0,0,0,0,0,0,0,1.49,0,25.1,0,0,0,0,0,0.85,0,13.5,0,0,0
 36-46,0,4.08,0.78,0,0,0,0,0,0,0,0,37.38,0,0.59,0,0.95,0,0,0,4.01,0,0,2.66
 48-58,0,6.73,0,1.72,0,0,0,0,0,3.36,0,37.38,0,0,0,0,0,0,0,5.95,0,0,0
 60-70,0,4.6,1.48,0.72,0,0,0,0,0,0,1.78,19.7,0,0,0,0,0,0,0,3.05,0,0,0
 72-82,0,9.79,0,0,0.92,0,0.59,0,0,4.57,0,3.43,0,2.41,0,0,0,0,0,0,0,0,0
 84-94,0.62,4.67,0,0,0,1.84,0,0,0,1.38,0,7.92,0,0.89,0,0,0,0,0,0,2.39,0,0
 96-106,0,4.98,0,0,0,0,0,1.7,0,1.91,0,12.42,0,0,0,0,0,0,0,0,0.75,0,0
108-118,0,0,0,0,0,0,0,0,0.43,3.29,0.56,13.39,0,1.41,0,0,0,0,0,1.92,0,0.55,0
120,0,0,0,0,0,0,0,0,0,0,0,8.64,0,0,0,0,0,0,0,0,0,0,0
