stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,108.18,817.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.37,0,0,0,0,0,0,0,0,0,0
  5-6,127.16,1519.98,0,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.39,6.07,0,0,0,0,49.13,0,0,0,0,0,0,0,0,0,0
  7-9,66.45,76.01,0,128.5,0,0,282.37,0,0,0,0,120.12,0,0,0,0,0,0,0,0,0,0,0,2117.93,52.37,0,0,889.32,0,0,20.77,0,0,0,0,0,0,0,0,0
 10-12,0,37.21,0,125.94,0,18.82,229.62,0,0,0,0,54.99,0,0,0,0,0,0,0,0,0,0,0,2193.58,41.38,0,0,990.04,0,22.26,0,0,84.72,0,0,0,0,0,0,0
 14-21,0,0,5.56,1.93,41.7,9.16,14.82,0,0,3.89,0.9,3.79,3.36,0,2.53,0,0,1.02,0,28.17,0,0,7.63,233.22,10.6,6.27,0,1.81,0,31.74,0,43.52,2.55,0.98,39.01,63.11,0,3.26,0,0
 24-34,0,0,1.26,0,20.3,10.63,62.39,0,0,6.75,0,1.14,0,0,0.62,0,0,0,0,33.02,0,0,5.99,787.94,4.8,15.35,3.59,0,0,20.63,0,0,1.5,0,3.08,109.94,0,18.22,0,0
 36-46,0,0,0,0,12.25,3.62,191.45,1.39,0.67,14.55,0,0,0.84,2.6,0,0,1.19,0,0.61,40.43,1.19,1.06,18.56,785.28,0.64,3.13,0.6,0,0,19.42,0,0,0,0,0,128.74,0,15.12,0,4.18
 48-58,0,0,0,0,19.41,3.92,281.15,0.39,0.4,41.92,1.94,0,1.01,3.96,0,0.67,0,0,0,47.95,0.37,5.46,5.52,1288.4,1.42,0,1.43,0,0,9.16,0,0,0,0,0,161.69,0,6.31,0,4.69
 60-70,0,0,0,0,13.17,12.24,250.69,0.76,1.65,17.53,0.95,0,0,1.8,0,0.74,0,0,0,45.05,0,2.64,3.56,469.85,0,2.21,1.74,0,0,4.67,0,0,0.67,0,0,48.23,0.73,4.23,0,0
 72-82,0,0,0.58,0,2.63,29.99,113.93,0,1.52,18.31,0,0,0,6.24,0,1.21,0.61,0,0,47.61,3.97,1.37,3.25,266.99,0,1.45,0.56,0,0,1.31,0,0,0,0,0,19.68,1.62,3.23,0.93,0
 84-94,0,0,0,0,4.29,23.13,80.39,0.56,2.79,11.39,0.59,0,0,1.62,2.58,1.03,1.33,0,0,49.54,2.96,3.03,1.79,178.55,2.01,1.04,1.19,0,1.01,1.66,0,0,0,0,0,5.8,0,7.6,2.84,0
 96-106,0,0,0,0,12.07,60.67,43.57,1.14,0,8.58,9.44,0,0,4.47,0,0,0.72,0,1.83,41.46,1.56,0,1.06,163.1,0,3.4,0.63,0,0,20.36,0,0,0.63,0,0,1.42,0.76,1.57,2.79,0
108-118,0,0,1.31,0,8.06,28.07,42.06,0,0,13.97,2.05,0,0,4.12,6.1,0,4.1,1.34,0,12.4,3.46,2.12,2.89,200.27,0.6,4.25,1.91,0,0,7.41,0,0,0.46,0,0,5.11,0,0.71,0,0
120,0,0,0,0,19.57,16.37,65.9,0,0,28.46,4.42,0,0,11.75,0,0,0,0,0,31.48,0,16.34,2.74,202.75,0,0,9.85,0,0,2.18,0,0,0,0,0,0,0,0,0,0
