stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,gut,immune,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste
  3-4,0,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.92,0,3.9,0,0,0,0,0,0,63.22,22.37,0,4.36,0,0,0
 14-21,0,0,0,9.04,1.35,0,0,0,0,0.97,0,4.34,3.55,0,13.71,4.85,0,0
 24-34,0,0,0,0,1.47,0,0,0,0,4.51,0.65,0,0,0,0,2.39,1.95,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.43,0.82,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.26,0,0,0,0,0,0,0,0.64,0,0,0,0,1.36,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.86,0,1.42,0,0,0,2.08,0,0,0,0,0,0.61
 96-106,0,0,0,1.27,6.16,0,0.8,1.23,0,0,0,0,0,7.54,0,0,0,7.97
108-118,0,0,0,0,0,0.46,0.43,2.76,0,0,0,0,0,1.37,0,0,0,6.03
120,0,0,0,0,0,0,1.94,0,0,0,0,0,0,1.68,0,0,0,2.67
