stage,blastomeres,epidermis,eye,glial,immune,ionocyte,mesenchyme,neural,presomitic_mesoderm,slow_muscle,spinal_cord,xanthophores
  3-4,29.83,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.87,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.92,0,0,0,0
 10-12,0,0,0,0,0,0,0,19.41,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.82,0,0,0
 24-34,0,0.74,0.72,0,0.94,0,0,2.9,0,0,0,0
 36-46,0,0,0,0,2.4,0,0.83,7.99,0,0,0,0
 48-58,0,0,0,0,1.66,0,0,0.6,0,0.46,1.84,0
 60-70,0,0,0,8.8,1.9,0,0,0,0,0,0,0
 72-82,0,0,0,0.58,14.39,0,0,1.11,0,0,0,0
 84-94,0,0,0,0,6.1,0,0,0,0,0,0,0
 96-106,0,0,0,0.92,5.72,0,0,0,0,0,0,5.36
108-118,0,0,0,3.64,14.31,0,1.58,0,0,0,0,0
120,0,0,0,0,12.63,2.4,0,7.29,0,0,0,0
