stage,epidermis,erythrocytes,eye,fin_epithelia,gut,ionocyte,mesenchyme,mucous,neural,taste
 36-46,1.02,0,0,0,0,0,0,0,0,0
 48-58,0.38,0,0,0,0,0,0,0,0,0
 60-70,10.02,0,0,3.17,0,0,0,0,0,0
 72-82,1.12,0,0,0,0,0,0,0,1.69,0.88
 84-94,10.62,0.82,5.09,1.22,0,0.78,2.96,0,0,0
 96-106,1.22,0,0,0,0,0,1.01,1.26,0,0
108-118,7.13,0,0.45,0,1.02,0,1.18,0.96,0,2.25
120,18.52,0,0,0,0,0,0,0,0,0
