stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,116.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,51.92,0,0,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,17.71,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.97,0,0,0,0,4.9,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,18.3,0,0,0,28.2,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.38,5.47,0,0,64.83,0,0,0,0,8.15,0,0
 14-21,0,0,7.18,2.7,0,7.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,24.62,0,0,0,1.74,0,6.59,2.79,0,13.56,2.12,0
 24-34,0,0,0.7,0.98,0,9.62,0,0,0,0,0,1.47,0.61,2.57,0,0.74,0.62,5.15,0,0.71,78.32,0.75,0,0.73,0,0,0,3.14,0,1.62,6.92,7.84
 36-46,0,0,0,0,0,8.17,1.75,0.63,0,0,0,0,0,0,0,13.5,0,2.42,0,1.38,45.9,0,5.32,0,0,7.59,2.1,0,4.85,0,7.75,1.04
 48-58,0,0,0,0,0,27.51,0,0,4.01,0,0,0,0,0.81,0,0.48,0,3.42,0,0.65,78.76,0,1.66,0.41,0,0,0,0,0.98,0,8.55,0
 60-70,0,0,0.71,0,0,29.47,0,0,2.66,0,0,5.52,0,3.16,0.77,1.06,0,7.84,0,1.47,59.59,0,0,0,0,2.11,0,0,0,0,8.17,2.96
 72-82,0,0,1.62,0,1.16,21.14,0,0,4.63,0,0,5.93,0,0,0,1.08,0,5.59,0,0.62,45.17,0,0,0.56,0,0.57,0,0,0,0,1.04,0
 84-94,0,0,1.34,0,0,20.01,0,0,8.13,0.69,0,0,0.55,0,0,0.58,0,3.91,0,0.78,15.95,0,0,0.59,0,0.65,0,0,0,0,1.56,0
 96-106,0,0,0.83,0,0,2.96,0,0,2.83,0,0,0.6,0.6,0,0,0,0,9.32,0,0.62,22.19,0,0,0,0,1.56,0,0,0,0,0,0.6
108-118,0,0,0,0.57,0,13.16,0,0,3.33,0,0,0,1.02,1.22,0,1.72,0,1.42,0,2.06,37.5,0,0,0.72,0,1.8,0,0,0,0,0,0
120,0,0,0,2.67,0,11.05,0,0,11.94,1.1,0,0,0,0,0,0,0,15.36,10.62,4.92,38.68,0,0,0,0,2.57,0,0,0,0,0,0
