stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,308.47,3212.13,0,0,0,0,0,0,0,0,0,0,0,0,251.11,0,0,0,0,0
  5-6,170.77,2364.83,0,0,0,0,0,19.06,0,0,0,137.97,0,0,61,0,0,0,0,0
  7-9,32.04,31.4,44.46,0,0,85.12,0,34.65,0,0,0,780.8,25.25,259.31,3.31,18.86,0,0,0,0
 10-12,0,4.98,30.96,0,0,82.62,0,8.15,0,0,0,252.55,15.39,139.63,0,12.81,0,11.67,0,0
 14-21,0,0,0,12.81,2.68,3.44,0,0,6.76,0,5.6,41.25,2.11,0,1.46,0,5.53,2.98,8.18,9.99
 24-34,0,0,0,3.16,0,2.13,0,0.66,0.8,0,0,28.05,0,0,11.64,0,0,1.45,0,1.7
 36-46,0,0,0,0,0,0.98,0,0,0.83,0.68,0,15.03,0,0,1.51,0,0,0,0,3.96
 48-58,0,0,0,0,0,1.17,0.51,0,0,0,0,1.48,0,0,0.96,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0
 72-82,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0
120,0,0,0,1.18,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0
