stage,epidermis,eye,glial,mesenchyme,muscle,neural,taste
 24-34,0,0,0,0,0,1.69,0
 36-46,0,0,0,0,0,0.81,0
 60-70,0,0,0,0,0,3.1,0
 72-82,0.68,0,0,1.15,0,1.24,0
 84-94,0,4.58,0,0,0,0,1.89
 96-106,1.71,0,2.78,0,0,4.74,14.84
108-118,0,4.45,0,0,0,0.65,35.21
120,0,0,0,0,2.32,3.91,16.87
