stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,0,0,0,0,0,0,0,0
 24-34,0.77,0,0,121.54,0,0,0,0,0,0,0,0,0,1.51,0,2.23,0,0,1.86,22.68,0.83,0,2.25,0,0,6.46,0,0,0,0
 36-46,4.02,0,0,1471.14,0,0.58,1.82,0,0,0,0,0,0,0,0,8.02,0,0,1.3,49.29,0,1.16,0,0,0,3.29,0,0,0,0
 48-58,0,0,0,1175.64,0,0,2.54,0,0.37,0,0,0,0,0,6.96,2.66,0,0.47,0.82,38.78,0,0,0.79,0,0,11.16,0,0.37,0,0.5
 60-70,3.44,0,0,2928.87,0.91,0,3.92,0,0,1.05,0,0,0.72,0,0,8.55,0,0.63,6.24,45.13,2.21,0,6.34,0,0,4.12,0,0,0,0
 72-82,4.04,5.39,2.97,2623.23,0,8.17,3.44,1.97,0,0,0,0,0,0,3.43,16.44,0.79,0,0,81.89,0,0,4.73,0,3.15,2.42,3.4,1.56,0,12.15
 84-94,0,1.5,0,1772.91,0,0,11.87,0,0,0,0,0,0,0,0,9.56,0,1.3,1.51,14.95,0,0,0,0,0,14.32,0,2.03,0,0
 96-106,0.74,24.24,0,1003.27,0,1.31,0.72,0,0,0.85,0,0,0,0,0,12.29,0,0,1.88,15.32,0,0,3.56,0,0,0,0.87,0.88,0,0
108-118,3.76,0.6,0.48,1490.41,0,2.11,4.52,1.72,0,0.75,0.42,0,0,0,0,24.42,0,0.62,0.86,43.12,2.79,0,8.14,0.75,0,0,0,5.04,0,0
120,3.56,6.99,0,1364.96,0,0,0,1.26,0,1.72,0,1.18,0,3.79,0,16.32,0,0,0,46.58,0,0,0,0,0,3.82,0,0,3.69,0
