stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,26.1,0,0,0,0,0,0,0,0,0,0,0,200.4,0,0,0,3.87,0,0,0,0,0,0,0,0
 14-21,0,0,6.49,0,12.06,0,0,0,0,0,0,0,0,0,0,1.04,184.25,0,0,1.85,0,0,0.86,3.17,70.96,0,0,0,0
 24-34,0,0,3.48,0,24.8,0,0,9.33,0,0,0.66,0,0,1.3,0,0,262.75,3.96,0.72,0,0,0,0,0,99.88,0,0,0,0
 36-46,0,0,2.43,0,104.15,0,0,23.08,0,0,0,0,0,3.02,0,0,399.49,2.29,0,0,0,0,0,0,120.01,0,0,0,0
 48-58,0,0,1.09,0,356.86,0,0,46.67,0,0,0,0,1.98,1.75,0,5.75,246.97,0.72,2.2,0,0,0,0,0,65.6,0,0,0,0
 60-70,0,0,5.3,0,1554.63,0,0.86,111.64,0,0,5.54,3.46,0,6.72,0,0,73.65,0.68,1.02,0,0,1.69,1.35,0,50.36,0,0,0,0
 72-82,0,0,7.64,0,1834.2,0,0,117.9,0.81,0.49,0,1.42,0,11.95,0,1.17,101.39,0,1.41,0.5,0,0,0,0,16,0,2.33,0,0.67
 84-94,0,0,0.63,0,1322.82,0,1.13,82.94,0,4.15,0,0.63,0,10.42,1.03,0,59.69,0.62,2.05,0,0,0.58,0,0,4.93,0.64,0.78,0,0
 96-106,0,0,3.5,0,1117.32,0.57,0,71.1,0,0,0.66,0.66,0,6.21,0,0,30.07,0,4.08,0,0,1.03,0,0,2.98,0,0,0.68,0.69
108-118,0,0,4.37,0.58,881.92,0.65,0,102.61,0,0,0,0.51,1.74,7.18,0,0,59.46,0.93,9.76,2.83,0,0,0,0,0,0,0.83,0,0
120,0,0,0,0,617.81,1.99,0,155.24,9.53,0,0,0,0,28.6,0,0,124.84,0,0,0,0,0,0,0,2.78,0,0,0,0
