stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,0,126.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.54,50.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,14.93,0,0,0,0,0,3.24,0,0,0,0,0,0,0,26.84,0,0,0,16.81,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.34,0,0,0,9.14,0,0,0,15.96,0,0,0,0,0,0,0
 14-21,0,0,0,2.19,1.34,1.11,0,0,0,0,0,0,0,0,0,0,1.89,0,0,40.93,1.15,0,1.88,0,0,0.8,0.88,0,0.99,2.19,3.47,0,0,0,0
 24-34,0,0,0,2.68,0,8.13,0,0,0,0,0,0,0,0,0,0,1.59,0,1.14,379.64,1.28,0,0.64,0,0,0,0,0,0,0,57.5,0,0,0,0
 36-46,0,0,0,1.17,0,24.6,0,0.79,0,3.97,0,0,0,0,0,0,0.72,0,1.26,1001.17,8.91,0.66,0,0,0,3.65,0,0,0,0,80.28,0,0,0,0
 48-58,0,0,0,3.76,0,40.73,0.87,0,6.84,7.22,0,0,0.64,0,0,0,13.21,0,0.49,1311,0.39,0,0.44,0,0,0.99,0,0,0,0,112.89,0,0,0,0
 60-70,0,0,0,11.46,0,57.26,0,0.96,0,12.61,0,0,0,0,0,0,21.97,0,0,1536.22,13.62,1.19,0.58,0,0,0,0,0,0,0,116.36,0,0,0,2.89
 72-82,0,0,0,10.87,0,55.54,0,0,0,7.96,0.81,0,0,0,0,0,15.66,1,3.07,1591.86,0,0,2.53,0,2.81,0,0,0,0,0,96.19,1.69,3.73,1.32,0
 84-94,0,0,0.92,3.53,1.28,94.98,0.75,0,0,13.75,0.62,0,1.49,1.23,0.82,0,27.53,3.18,1.44,1118.41,0.89,0,5.45,0,0,0,0,0,0.69,0,30.19,0,0,1.07,0
 96-106,0,0,2.24,1.67,0,41.01,0,0,0,14.94,0,0,6,0.78,0,0,6.83,0,0,896.46,0.57,0,1.77,0,0,9.24,0,0.69,0,0,19.87,0,2.94,3.05,0
108-118,0,0,0,10.19,0.59,60.67,0,0,2.22,8.88,12.86,0,1.32,0,0,2.42,11.3,2.23,0.68,874.91,2.26,0,0.58,0,3.15,0,0,0,0,0,25.79,0,0,0,0
120,0,0,0,3.7,0,118.61,0,3.62,0,45.78,0,0,0,0,0,0,30.32,0,5.13,1303.58,7.43,0,4.36,0,3.68,1.1,0,2.43,0,0,33.96,3.87,0,0,0
