stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,53.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89,0,0,0,0,0,0
  5-6,9.19,62.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.13,0,0,7.61,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.77,0,0,0,0,0,0,0
 14-21,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,12.05,0,0,0,0,0,0.84,0,0,0,0
 24-34,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0.62,0,0,29.61,0,0,0,0,0,0,6.23,0,0,0
 36-46,0,0,0,0,0,29.56,0,0,0,0,0,0,0,0,0,0,0,37.26,0.7,0,0,0,0,0,7.96,0,0,0
 48-58,0,0,0,0,0,230.49,0,0,2.31,0,0,0,0,0,1.23,0,0,55.55,0,0,0,0.47,0,0,6.81,0,0,0
 60-70,0,0,0,0,0,1529.54,0,0,4.67,0,0,0,0,0,3.06,0,0,50.82,2.72,0,0,0,0,0,1.22,0,0,0
 72-82,0,0,0.5,0,0,2548.89,0,0,26.83,1.06,1.33,4.17,0,0,6.38,0,0,100.45,1.86,0,0,0,0,0,1.56,0,0,0
 84-94,0,0,0,4.83,0,1666.52,0,0,23.17,0,0,0,0,0,3.93,7.26,0.6,56.48,0,0.72,0,0,0,0,0,0.8,0,0
 96-106,0,0,0,3.46,3.35,1693.74,0,0,16.73,0,0,4.04,0,0,2.98,0,0,38.23,0,1.78,0,0,0.62,0,4.12,0,0.59,0.85
108-118,0,0,0,14.52,0,1333.38,0.54,0.79,26.62,0,0,0,0,2.4,7.04,0,4.49,59.13,0,5.59,0,0,0,0,9.79,0,2.97,0
120,0,0,0,11.29,0,926.93,0,1.56,64.15,0,0,0,8.35,0,1.94,0,2.55,95.28,0,0,0,0,0,0,0,0,0,0
