stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,20.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.55,0,0,14.99,0,0,0,0,0,0,0,0,31.37,4.5,0,0,3.9,0,0,0,0,0,0,0
 10-12,16.3,0,0,0,20.32,0,0,0,0,0,0,0,0,188.42,0,0,0,15.76,0,0,0,0,0,0,0
 14-21,0,0,5.24,0,3.95,0,0,1.23,0,0,0,0,0,73.75,0.89,0,0,0,0,0,0,0.89,37.63,0,0
 24-34,0,0,2.47,1.69,2.11,0,0,2.61,0,0,0,2.33,0.75,117.97,0,0,1.32,1,0,0,0.61,1.61,72.3,0,0
 36-46,0,0,0,0,12.32,0,0,2.04,0,3.34,0,3.44,1.17,92.7,0,0,0,0,0,0,0,0,107.79,0,0
 48-58,0,0,3.84,0,9.08,0,0.5,1.78,0,0.4,2.34,0,0.75,79.24,0,0.85,1.38,0,0,0,0,0,89.36,0,2.15
 60-70,0,0,0,0,12.9,0,0,1.56,1.16,0,0,0.66,0,68.89,0,0,1.58,0,2.85,0,0,0,68.92,0,5.88
 72-82,0,0,13.81,0,40.06,0,1.4,9.39,0,3.44,0,1.21,0,116.31,0,0.54,0.79,0,0,2.11,0,0,51.39,0.65,2.27
 84-94,0,0,0,0,13.59,0,0,4.28,0.7,0,0.68,3.69,0.68,65.64,0,0,2.44,0,0,0.7,0,0,32.89,0,0
 96-106,0,0,0,0,37.66,0,0,5.08,0,3.01,0,6.81,1.13,58.57,0,0,8.92,0,0,0.89,0,0,13.49,0.65,0
108-118,0,0,0,0,45.54,0.7,0,3.12,4.17,0,0,6.88,0,80.7,0,0,7.9,0,0,1.47,0,0,13.32,0,0.49
120,0,0,1.24,0,45.09,0,0,27.52,0,0,0,0,0,136.4,0,0,0,0,0,4.99,0,0,18.13,0,0
