stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,pgc,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0,0
  7-9,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.13,0,0,0,0,0,0,0,0,0,0
 14-21,0.88,2.6,117.22,0,0,0,0,0,0,0,0,94.45,0,0,0,0,0,0,0,0,0,0,3.48,0.9,0,0,0,0,0,0
 24-34,0,2.72,43.46,0,0,0,5.57,0,1.19,0,0,150.63,0,0.83,0,2.17,1.03,0,0,8.39,0,0,0,0,0.64,0.65,2.52,34.74,0,0
 36-46,0,0,0,0,0,0,0,1.99,0,0,0,238.76,0,0,0,12.24,0,0,0,4.58,0,0,0,0,0,0,0,40.81,0,0
 48-58,0,0,0,0,7.57,0,0,2.5,0,2.71,0,251.41,0,0,0,2.25,1.3,0,0,4.52,2.93,0,0.84,0,0,0,3.67,38.51,0,1.48
 60-70,0,0,0.65,0,0.79,0,0,0,4.89,0,2.4,253.13,0,0,0,5.52,0,0,0,7.86,0,0,0,0,0,0,0.67,51.67,0,0
 72-82,0,0,0,1.04,0,1.07,0,1.07,2.24,0,2.13,239.7,0,0,0,5.83,1.6,0,0,17.45,0,1.16,0,0,0.63,0,0,106.23,4.01,0
 84-94,0,0.71,0,0,20.12,0.66,0,0,1.51,3.97,0,381.09,0.75,0,0,21.97,1.59,0,0,4.88,0,0,3.13,0,2.86,0,1.07,74.97,0,0
 96-106,0,0,1,0,3.28,0,0,0,0.92,0,2.77,495.03,0,0,1.11,21.27,4.63,0,0,9.54,0,0,6.58,0,0.61,0,2.14,73.09,0.65,0
108-118,0,3.78,4.4,1.44,3.47,0,0,3.79,0.59,0,0,388.44,0,0,0,46.77,4.19,3.17,0,27.01,0,1.35,0,0,2.32,0,0,91.61,0,0
120,0,0,2.22,5.27,0,4.2,0,0,0,0,0,297.37,0,0,0,33.21,2.36,0,1.39,1.35,0,1.47,0,0,2.41,0,0,93.55,0,0
