stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,25.5,32.23,0,0,0,0,0,2.85,0,0,1.89,0,0,0.87,0,0,0,19.62,0,0,10.69,39.6,0.95,1.97,0,0,0,11.65,4.67,0,16.47,9.03,0,0,12.12,0,0
 24-34,0,2.02,34.47,28.72,0,5.37,1.2,4.03,2.88,5.77,1.4,0,5.91,0,0,0,1.23,0,0,140.35,6.69,0.82,58.77,112.5,1.74,3.68,1.45,0,23.54,0,8.7,0,14.63,30.94,0,0,114.55,0,0.63
 36-46,0,0,42.62,4.97,0,4.02,1.46,10.82,2.56,23.49,0.95,0,4.71,0,5.33,1.11,0,0,0,199.66,0,1.4,58.46,68.34,1.18,18.98,1.17,0,30.48,0,9.48,4.05,0.67,19.14,0,0,79.16,0,8.3
 48-58,0,0,16.8,3.47,0,19.37,2.54,19.32,8.55,18.07,0,5.96,15.36,7.08,0,0,0.91,0,1.3,232.1,0,3.97,38.1,80.82,1.29,0.96,8.56,0.45,7.09,0,1.44,0,0,11.24,0,0,45.39,0,12.22
 60-70,0,0,22.23,3.23,0,18.88,2.57,14.95,24.38,147.37,5.9,0,12.7,9.72,0,0.85,7.82,0,4.43,379.77,0,11.21,34.61,62.18,2.27,4.45,9.76,2.3,19.83,0,0.62,2.41,0,15.46,0,9.05,51.23,5.26,12.27
 72-82,0.91,0,22.26,8.6,0,27.49,2.65,20.95,36.04,245.17,8.52,0,22.32,0.5,1.89,2.8,7.45,0,3.31,836.69,8.82,29.36,51.24,56.64,1.62,2.14,9.89,17.28,5.82,0,4.41,0,0,19.67,1.68,15.08,123.44,24.42,34.99
 84-94,0,0,47.59,8.7,0,44.76,9.44,25.24,25.25,169.14,7.62,0,21.96,6.72,1.37,8.4,4.71,10.9,1.51,672.12,0,28.12,60.86,64.6,0,3.12,9.59,8.75,9.32,0,5.29,0,0,21.68,2.26,28.11,126.9,22.64,36.64
 96-106,0,0,46.13,42.72,0,40.29,3.49,15.76,44.03,284.68,8.93,0,22.83,3.52,0.68,18.42,8.45,3.19,1.28,784.44,0.76,26.05,59.37,156.21,3.12,5.12,8.68,22.3,1.83,0,4.8,0,0,14.58,1.33,36.93,158.33,45.78,22.12
108-118,0,0,55.71,24.98,6.94,60.04,4.63,37.07,28.95,262.33,11.75,0,13.79,5.69,1.28,15.54,4.59,1.75,6.15,1198.44,0,40.69,78.24,110.75,1.26,1.03,17.5,37.04,8.77,0,5.68,0.44,0,20.13,0,14.15,160.7,30.52,25.13
120,0,0,45.02,8.61,0,46.06,0,19.16,39.36,485.05,3.58,0,17.56,6.69,0,20.27,9.83,0,1.54,1437.46,0,43.12,99.69,214.74,12.25,0,32.78,90.66,4.45,0,1.79,0,0,29.8,0,44.82,310.92,59.39,19.7
