stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,xanthophores
  3-4,13603.51,230222.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7574.11,0,0,0,0,0,0
  5-6,6400.01,76441.45,17.04,0,0,0,0,0,57.76,0,0,0,0,0,0,898.86,56.25,0,0,114.71,1799.01,0,0,0,0,0,0
  7-9,86.31,119.69,96.29,0,0,83.92,0,0,66.15,0,0,0,0,0,0,4746.41,41.85,0,0,303.32,39.27,192.51,0,0,0,0,0
 10-12,0,17.01,4.09,0,0,48.79,0,0,9.62,0,0,0,0,0,0,648.58,0,0,0,53.61,25.82,8.7,0,0,0,0,0
 14-21,0,0,0,17.19,0,2.3,0,2.49,0,0,0,4.48,0,0,5.73,98,0,0,1.74,0,2.8,0,4.56,2.77,5.85,0,0
 24-34,0,0,0,2.07,0,0.65,0,6.23,0,0,0.85,2.18,0,2.43,0,31.34,0,0.95,0,0,5.89,0,0,0,5.58,0,1.43
 36-46,0,0,0,0.96,0,0,0,5.79,0,0,0,2.18,0,0,0.57,21.06,0,0,0,0,1.35,0,0,0,2.71,0,0
 48-58,0,0,0,0,0,1.12,0,3.21,0,0,0,2.8,0,0,0,7.71,0,0,0.45,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.39,0,0,0,0,0,8.88,0,0,0,4.97,0,0,0,0,0.57,0,0,0,3.44,0,0
 72-82,0,0,0,0,0.9,0,0,0.56,0,0,0,0.61,0,0,0,0.5,0,1.49,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.71,0,11.6,0,0.87,0,3.01,0,0,0.68,3.56,0,0,0,0,1.51,0,0,0,0,0,0
 96-106,0,0,0,1.33,0,0,0,0,0,0,0,0,3.31,0,0,1.52,0,1.27,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.48,0.43,0,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,2.14,0
120,0,0,0,0,0,0,6.25,4.47,0,0,0,9.45,0,0,3.2,0,0,1.15,0,0,0,0,0,0,0,0,0
