stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,2047.41,33501.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1592.4,0,0,0,0,0,0,0,0,0
  5-6,953.77,11439.39,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,406.06,7.94,0,0,82.06,202.06,0,0,0,0,0,0,0,0,0
  7-9,137.6,115.15,252.21,0,0,416.48,0,0,0,0,164.6,0,0,0,0,0,0,0,4350.25,192.72,0,0,1447.06,6.59,231.9,0,0,0,0,0,0,0,0
 10-12,0,31.75,78.94,0,6.18,155,0,0,0,0,20.06,0,0,0,0,0,0,0,1260.47,116.75,0,0,453.58,5.41,56.21,0,89.9,0,10.09,0,0,0,0
 14-21,0,0,1.18,8.54,0.91,1.67,0,0,0,5.14,2.47,0,1.16,0,0,1.9,0,2.78,50.09,54.19,5.41,0.94,2.97,2.54,9.3,19.22,0.85,1.22,6.99,27.89,0,0,0
 24-34,0,0,0,1.27,0.66,1.29,0,0,0,0,0,0,0,0,0,0,0,2.88,79.07,15.74,6.01,0.98,0,0,0,0,0,0,1.39,14.57,0,0,2.64
 36-46,0,0,0,9.27,0,1.66,0,0,0,0,0,9.07,0,1.77,0,0,4.55,6.64,167.25,1.3,3.21,13.78,0,0.68,0.81,0,0,0,0,2.75,0,0,18.54
 48-58,0,0,0,1.3,0,15.95,0,0.44,6.83,0,0,0,0,23.99,1.09,0,3.71,1.27,356.2,0,2.66,2.81,0,0,0,0,0,0,0,14.68,0,1.11,11.02
 60-70,0,0,0,2.55,0,18.66,2.26,0,0,0,0,0,0,115.66,2.16,0,0,8.89,206.81,0,0.81,0.98,0,5.12,0,0,0,0,0,12.11,0,0,18.82
 72-82,0,0,0,1.17,0.56,58.27,0,0,1.82,0,0,0,0,80.26,0,0,0,6.32,229.93,0,0,6.72,0,0,0,0,0,0,0,8.75,0,0,7.53
 84-94,0,0,0,1.71,0,53.75,0,0,0,0,0,0,0,49.74,1.21,0,0,1.16,137.76,0,4.81,6.65,0,2.71,0,0,0,0,0,14.02,0,0,6.45
 96-106,0,0,0,0.6,0,42.29,0,1.54,0,0,0,0,0,85.17,0,0,0,0,67.23,0,3.68,1.41,0,0,0,0,0,0,0,10.5,0,0,3.57
108-118,0,0,0.74,1.19,0,35.34,0,0,5.16,0,0,0,0,52.21,0,0,0,0.47,113.11,0,1.14,5.46,0,0,0,0,0,0,0,7.28,0.77,0,4.47
120,0,0,0,0,0,72.52,0,0,3.86,3.34,0,0,0,43.17,0,0,0,0,111.26,0,0,0,0,0,0,0,0,0,0,0,0,0,6.89
