stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59,0,0,0,28.95,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,57,0,16.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.97,25.67,0,0,361.16,0,0,0,35.87,0,5.73,0,0,0,0,0,0
 14-21,2.16,0.82,4.27,398.02,10.31,4.37,26.76,0,2.45,14.68,0,0,0,0,0,0,0,2.57,23.87,2.06,0,48.44,137.02,47.14,11.7,0,62.51,0,0,235.56,1.52,1.34,129.71,47.13,0,0,3.16,0,1.8
 24-34,0,0.84,0,356.59,2.63,15.96,113.23,4.55,3.95,7.13,0,0,0,0,0,1.31,0,3.29,75.4,0.69,0,96.64,193.71,12.93,0.7,1.6,0,0,1.73,2.17,0,0,47.56,40.82,0,0,2.14,0,0
 36-46,0,0,0,151.96,0,3.1,64.89,6.43,7.54,3.85,0,1.27,0,0,0,0,0,3.69,104.14,1.7,0,32.62,138.87,0.66,1.12,0.74,0,0,1.71,0,0,0,0,20.92,0,0,19.85,0.78,0
 48-58,0,0,0,102.55,0,25.52,41.88,3.31,8.29,0.4,0,0.91,8.87,0,0.75,0.85,0,8.21,110.31,0,0,30.45,100.05,4.45,0.43,8.37,0,0.4,0.66,0,0,1.43,0,14.55,0,1.71,6.59,0,0
 60-70,0,0,0,78.47,0,20.11,39.06,1.67,23.16,0,0,1.48,0,0,0,0,0,0,154.43,0,5.33,9.84,76.81,0,1.82,1.01,0,2.46,0,0,4.15,0.65,0,20.4,0.73,1.88,4.2,0,0
 72-82,0,0,0,40.53,0,28.88,22.74,7.69,18.78,0,0.65,2.78,0,2.52,0,1.48,0,0,199.59,0,8.2,28.33,73.68,0,1.28,2.53,0,3.44,1.16,0,0,0,0,4.68,0.77,4.61,13.17,4.4,0
 84-94,0,0,0,73.09,0,48.33,46.51,6.28,3.46,0.58,0,1.01,0,7,1.3,0.86,0,1.95,177.37,0,11.9,17.04,46.27,0,0,0,0,6.05,1.49,0,1.93,0,0,10.14,2.65,4.58,6.16,5.01,0
 96-106,0,0,0,49.85,0,27.59,26.67,4.87,2.23,0,0,1.64,0,6.13,0,1.17,0,0,146.85,1.24,10.36,11.25,34.63,1.64,3.09,0,0,7.25,3.29,0,0,0,0,0.99,2.03,5,16.54,2,2.71
108-118,0,0,0,76.81,2.14,20.13,25.89,16.83,18.79,5.07,0,3.21,0,5.23,1.23,0.87,1.15,0.95,163.53,0.43,13.54,7.38,23.23,1.22,1.81,0.51,0,1.08,7.38,0,0.47,0,0,1.3,3.28,3.28,4.42,9.18,2.03
120,0,0,0,117.36,0,10.72,44.37,0,11.3,0,0,1.85,10.09,0,0,0,0,1.79,176.77,0,3.62,32.01,13.54,0,0,2.3,0,0,1.26,0,0,0,0,0,1.37,6.38,10.78,28.79,0
