stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95,0,1.8,0,0,0,0,0,3.72,0,0,13.52,0,0,1.16,0,0
 24-34,0,1.62,0,0,0,0,0,0,0.76,0,0,0,0,9.19,0,7.25,0.92,0,0,0,0,0,0,2.87,0.66,3.92,0,15.74,0,0
 36-46,0,0,0,0,0,0,0.63,0,0,0,0,0,0,20.41,0.89,8.09,1.37,0,0,0,0,0,1.2,2.3,0,1.02,0,14.95,0,0
 48-58,0,0,0,0,0.57,0,1.32,1.41,0,0,0,0,0,32,0,10.71,3.95,5.29,0,0,0,0,0.47,0,0,4.31,0,12.56,0,0
 60-70,0,6.77,0,0,0,0,0,1.04,1.32,0,0,6.48,0,63.58,0,4.93,9.53,0,0,1.19,0,0,0,0,0,0.88,1.03,22.8,0,0
 72-82,0,0,0,3.21,0,0,0,1.74,0.9,0.61,0,0,0,50.17,4.04,21.11,17.12,0,0,3.44,0,0,1.24,0,0,3.67,4.19,22.98,9.36,0
 84-94,0,4.84,0,1.44,0,0,0,6.69,1.91,0,0,9.69,11.14,64.26,17.32,14.2,7.56,0,0,0,0,0,0,0,0,0,1.77,15.54,3.05,0
 96-106,0,1.27,0,0,0,0,1.88,13.64,0.96,0,0,0,0,56.23,9.84,2.67,4.21,0,0,5.13,0.61,0,0,0,0,0,3.89,14.03,5.94,0
108-118,0,0.96,0.89,0.56,0,0,0,8.57,3.55,0,1.11,4.62,0,92.57,4.24,4.77,10.87,0,0,9.96,0,0,0,0,0,0,6.23,20.67,7.05,0
120,0,3.3,0,42.95,0,5.94,0,8.33,15.28,0,0,0,0,119.83,0,23.06,35.93,0,1.1,13.12,0,0,3.69,0,0,0,0,36.21,25.74,6.41
