stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,43.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.85,6.66,0,0,9.56,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.9,10.71,0,0,10.97,0,0,7.65,0,0,0,0,0,0,0
 14-21,0,1.69,2.57,2.49,2.17,0,0.91,0,0,0,0,0,0,0,0,0,0,0,2.05,0,1.2,9.4,0,0,0,0,0,1.81,0,1.17,4.2,14.91,0,3.41,0,0
 24-34,0,0,0,14.47,0.76,0,4.28,0,7.3,0,1.65,0.73,0,0,0,0,0,0,9.44,0,7.89,27.67,3.15,0,0,0,0,0,0.7,0,0,14.27,0,12.16,0,0
 36-46,0,0,0,9.67,0,0,11.79,0,12.23,0.6,5.47,0,2.62,1.64,0.66,0,0,0,28.97,1.94,3.94,30.25,6.03,1.39,0.81,0,0,0,0.63,0,0,7.66,0,6.09,0,0
 48-58,0,0,0,6.21,0,0,11.67,0,1.41,1.14,7.22,0,0,0.37,5.68,0,0,0.48,50.44,11.41,5.19,21.23,0.98,0.65,0,0,7.5,0,0,1.87,0,4.72,0,16.09,0,0
 60-70,0,0,0,13.19,0,0,9.35,0,6.32,1.85,2.02,0,0.78,0,0.82,1.6,0,0,96.38,2.29,1.96,9.44,1.21,0,0,0,0,0,0.72,0,0,0.85,2.19,25.34,0,0
 72-82,0,2.33,0,8.85,0,0,3.74,3.54,2.72,2.02,4.77,1.41,2.3,1.6,0.63,0,0.67,1.4,112.16,5.72,3.74,16.61,0.55,0.7,1.06,0,0,0,0.55,0,0,0,1.58,19.16,2.32,0
 84-94,0,0.98,0,38.42,0,0,15.61,1,8.13,1.47,4.35,1.71,2.23,7.01,1.6,0,0,1.13,106.42,10.3,3.82,18.28,1.54,1.04,0.79,0,0,0,1.92,0,0,0,4.87,18.79,1.76,0
 96-106,0,0,0,14.52,0,1.43,13.96,0,10.31,0,10.19,5.02,5.45,7.85,1.6,1.14,0,1.22,72.61,3.86,2.34,11.09,0,0.66,0,0,3.33,0,2.08,0,0,1.32,0,54.94,3.38,0
108-118,0,0,1.06,14.76,0,0,22.3,0.88,8.31,0.9,9.94,0.43,0,5.72,0.81,0.83,0,1.37,95.09,7.37,5.81,11.85,0.55,2.6,1.38,0,0.67,0,1.86,1.18,0,0,0.96,36.59,0.79,0.48
120,0,0,0,27.54,0,0,15.62,4.1,2.58,0,3.53,1.18,4.83,0,0,1.74,1.84,1.48,51.41,1.38,5.41,16.13,1.93,8.67,0,0,1.12,0,1.42,0,0,0,1.95,34.98,11.02,0
