stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,slow.muscle,spinal.cord,taste
  5-6,16.05,0,6.55,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.87,0,11.52,0,0,0,0,0,0,0,0,0,0,107.72,6.18,0,0,62.94,0,0,0,0
 10-12,12.71,0,11.89,0,19.26,0,0,0,0,0,0,0,0,0,0,196.13,9.29,0,0,63,0,0,0,0
 14-21,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,1.33,0,3.52,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,1.87,0,0,0,0.87,1.82,0
 36-46,0,0,0,0,0,0,0.78,0,0,0,0,0,2.16,0,0,22.54,0,0.84,0,0,0,0,1.71,0
 48-58,0,0,0,0.62,3.84,0,3.77,0,0,0,0,0,0,0,0,26.16,0,0,0,0,0,0,2.18,0
 60-70,0,0,0,0,16.64,1.96,0,0.63,0,0,0.86,0,0,0,0,15.52,0,0,0.72,0,0,0,1.06,0
 72-82,0,0,0,0,9.8,0,2.12,0,0,0,0,0,1.13,0,1.77,17.5,0,1.08,0,0,0,0,0.84,0
 84-94,0,0,0,0.65,11.56,0,0,0,0,0,0,0,0.66,1.13,0,8.58,0,0,0,0,0,0,0,0
 96-106,0,1.17,0,0.61,11.58,0,0,0,0,0,0,0,2.52,0,0,21.44,0,5.91,0,0,0,0,0,1.22
108-118,0,0,0,0,2.52,0,5.22,0,0,0,0,0,5.43,0,0,10.41,0,0,0,0,0,0,0,0
120,0,0,0,0,1.34,0,4.81,0,0,2.18,0,7.44,0,0,0,30.34,5.19,4.59,0,0,0,0,0,0
