stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.23,40.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,54.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65,0,0,0,6.82,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,10.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.42,0,0,0,0,0,0,0,15.22,0,0,0,0,0,0,0
 14-21,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,46.71,0,0.87,0,0,0,1.52,1.04,0,0,4.94,0,0,0,0,0
 24-34,0,0,0,0.79,0,0,5.48,0,0,0,3.62,0,0,0,0,0,0.81,0,0,9.43,0,0,0.61,277.42,0,23.15,8.56,0,0,0,0,0,0,57.79,0,0,0,0,2.09
 36-46,0,0,0,0.6,0,0,27.37,0,0,0,5.51,0,0.56,0,0,0,3.34,0,0,13.33,0,0,0,578.25,0,25.62,8.97,0,0,1.41,0,0,0,120.43,0,0,0,0,23.23
 48-58,0,0,0,5.75,0,0,100.08,0.86,0,0,12.25,0,0.47,0,0,0,5.03,0,0,14.59,0,0,0,1091.34,0,18.88,11.93,0,0,2.43,0,0,0,166.24,0,0,1.44,0,14.55
 60-70,0,0,0,3.38,0,0,369.28,2.47,0,0,15.6,0,0,0,5.1,0,3,0,3.44,13.47,0,0,2.77,2017.74,0,17.2,12.25,0,0,11.88,0,0,0.62,288.29,0,0,0.75,0,10
 72-82,0,0,1.32,10.13,1.3,0,508.93,28.96,0.5,1.27,30.47,2.26,0.86,0.69,0,1.65,1.94,1.54,0,38.69,1.06,2.64,2.88,2014.14,0,28.78,35.4,0,0,3.84,0,0,0,273.79,1.34,0,0,1.24,32.13
 84-94,0,0,7.54,11.71,0,0,440.12,9.94,0,0,37.96,0.93,0,0.87,3.46,0.67,10.46,0,0,39.21,0,2.53,7.76,1524.27,0,12.74,47.54,0,2.68,2.17,0,0,1.07,190.22,0,4.43,12.44,0,12.97
 96-106,0,0,1.78,17.9,0,3.15,469.42,6.8,0,0,96.19,1.13,0,3.07,1.23,0.75,9.89,2.52,0,48.02,0,0,1.16,1308.14,0.65,31.81,62.63,0,6.23,5.67,0,0,0,69.66,0,0,0,1.5,47.04
108-118,0,0,2.13,22.96,4.24,6.06,494.87,6.11,0.52,0.65,113.85,0,0,1.38,0,0,6.51,2.95,1.43,28.42,0,0,0.46,1749.66,0,29.43,69.05,0,0,2.88,0,0.87,0.92,90.53,3.03,0,2.11,2.27,10.57
120,0,0,0,26.82,8.54,0,557.14,5.42,0,5.71,197.25,3.85,0,16.48,0,1.18,26.74,0,0,45.41,0,0,4.5,2881.8,1.33,29.54,80.31,0,0,5.05,0,0,0,161.31,0,0,15.2,16.84,8.4
