stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.95,239.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.29,205.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.53,0,0,0,0,0,0,0,0,0
  7-9,5.85,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,28.81,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.42,0,0,10.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.77,0,0,0,16.02,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.5,6.06,0.88,0,0,1.18,0,1.02,3.48,0,0,0,0,9.13,0,0,8.93,118.58,1.83,0,0.84,1.1,0,0,6.7,0,65.3,0,0,4.82,0,0
 24-34,0,0,1.97,0,1.68,0,10.12,0,0.74,4.68,0,0,1.7,0,0,0,1.31,7.88,0,0,2.89,349.5,0.95,1.87,1.29,0,0.92,0.86,0,3.03,112.41,0,0,10.45,0,0
 36-46,0,0,0,0,0,3.59,61.78,0,2.12,13.52,0,0,0.56,0,1.11,0,0.61,28.95,0,0,10.72,816.75,0,5.65,0,0,2.82,0,0,0,114.19,0,0,12.99,0,0
 48-58,0,0,0,0,4.38,0,151.64,6.07,0,27.04,0,0,0.94,4.27,0.46,0,0.58,28.47,0,0,3.27,823.75,0,2.37,0,0,4.12,0,0,0,98.55,0,0,1.8,0,0
 60-70,0,0,0,0,3.25,0,678.42,0,2.65,38.27,0,0,0,0,16.89,0,7.55,33.09,0,0,10.13,1278.89,0,1.88,0,0,0,0,0,0,90.33,0,1.77,1.15,0.81,0
 72-82,0,0,0,0,1.68,2.63,941.29,0.81,2.89,31.09,0,0,0,0,0,4.65,0,26.11,0,0,3.9,1148.63,0,4.91,0,0,0,0,0,0,68.98,0.94,4.32,2.29,0,3.79
 84-94,0,0,0,0,4.96,1.03,535.85,0,5.92,22.39,1.7,0,0,4.56,0,0,0,22.88,0,1.33,3.28,681.96,0,1.89,0,0,0,0,0,0,50.68,0,0.99,7.19,0.62,0
 96-106,0,0,1.23,0,5.5,2.41,689.15,0,2.75,15.66,1.61,0,0,1.08,0,0,0,22.24,2.72,0,1.48,666.98,0,2.21,0,0,4.87,0,0,0,23.35,0,0,1.55,0,0.75
108-118,0,0,0,0,8.8,0.69,645.53,0,1.35,21.68,0.58,0,0,1.33,1.01,0,0,25.06,3.43,0,2.11,910.1,0,3.63,0.87,0,5.16,0,0,0,18.95,0.67,0.96,0,0,0
120,0,0,0,0,4.84,2.1,374.31,0,5.36,27.21,0,0,0,2.36,0,9.22,0,20.09,0,0,0,1276.44,0,4.24,0,0,0,0,0,0,0,1.37,0,5.57,0,0
