stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,8.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186.81,64.45,0,0,117,0,0,0,0,4.35,0,0,0,0,0,0
 14-21,0,1.84,684.56,0,0,0,0,10.15,0,1.6,3.59,1.18,0.85,0,0,0,0,0,0,4.42,0,0,21.84,5.21,63.51,0,0,13.75,0,2.52,2.21,118.74,38.76,286.56,0,0,0,0,0
 24-34,0,3.65,407.46,0,0,2.14,4.64,101.5,1.66,3.18,1.02,0,25.39,0.87,0.79,0,0.68,0.65,0.62,168.21,5.83,0,242.61,152.48,139.08,0,0,0,0,18.48,0.85,233.26,37.07,178.32,0,0,7.57,0,0.6
 36-46,0,0,56.84,5.85,0,5.89,20.78,59.44,2.79,7.76,0,0,24.37,0,0,0,0,0,24.17,415.36,1.16,8.14,137.51,270.36,152.19,0.6,0,0,0,0,0,150.81,2.62,83.97,0,0,2.55,3.88,0
 48-58,0,0,29.08,0,0,31.44,30.43,59.23,5.3,12.68,0,0,5.55,0,0,0,0,0,32.41,348.73,0.53,21.33,101.75,323.38,153.26,0,0,0,0.46,2.11,0,68.9,0,65.54,0,3.48,4.45,1.29,0
 60-70,0,0,14.8,4.47,0,17.69,41.69,73.04,0,46.01,1.57,0,5.9,0,0,0,0,0,29.95,372.76,0.85,57.96,56.38,380.4,103.9,0,0,2.43,8.32,4.32,0,47.11,0,43.31,0,28.29,1.81,37.7,0
 72-82,0,0,14.61,4.17,0,80.69,38.98,23.84,3.97,149.22,0,0,4.34,0,0,1.28,0,0,25.89,468.99,0,44.99,47.36,349.21,63.79,0,8.31,1.13,13.45,1.14,0,17.73,0,35.2,1.87,60.64,5.51,101.51,7.85
 84-94,0,0,12.77,9.97,0.92,48.42,59.88,36.94,1.47,191.92,0,0,5.35,0,0.68,0,2.71,0,41.11,433.95,0.69,52.27,46.44,294.37,126.86,0,1.58,0,0.79,0.94,0,44.5,0,39.62,0,56.8,1.85,84.81,0
 96-106,0,0,11.53,28.22,0,38.99,84.5,30.6,2.26,342.67,0,0,5.91,0.61,0,1.03,0,1.26,25.07,381.92,0,28.88,43.82,313.21,131.97,0,2.93,0,20.78,5.38,0,33.04,0,36.69,0,73.04,16.39,148.5,0
108-118,1.01,0,9.13,0,0,49.3,81.93,47.98,0.73,341.5,4.3,0,2.5,1.4,0,1.65,0,0,62.4,395.81,0,41.1,34.18,359.5,148.12,0,0.43,0,11.88,6.92,0,28.05,0,13.17,1.35,87.47,7.34,96.39,0.82
120,0,0,16.16,4.24,0,70.88,42.3,40.58,0,396.92,2.55,0,0,4.33,0,0,0,0,37.86,420.32,1.56,64,26.21,740.98,215.34,0,0,0,32.3,0,0,20.23,0,21.62,0,71.24,5.46,135.43,0
