stage,epidermis,eye,fin.mesenchyme,glial,heart,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0
 14-21,2.98,1.23,0,1.64,0,0,1.08,1.02,0,0,0,0,0,3.28,5.53,0.82,0
 24-34,1.07,0.98,0,0,0,1.89,0,2.56,0,1.49,4.43,0,0,1.34,0,2.15,1.25
 36-46,0,1.11,0.57,0.8,0,0,0,1.67,0.74,0,5.12,1.73,0,4.91,0,0,1.67
 48-58,0,0,0,2.67,0.55,0,0,1,0,0,1.05,1.14,0,5.31,0,0.56,0
 60-70,0,0,0,1.29,0,0,0,4.1,0,0,2.18,0,0,0,0,1.04,0
 72-82,0,0.5,0,0.93,0,0,0,0,0,0.68,0,0,0,0.59,0,0,0
 84-94,0.63,0,0,3.04,0,0,0,0,0,0,0,0.95,0,0,0,0.66,0
 96-106,0,0,0,0,0,0.82,0,0,0,0,1.49,0,0,0,0,1.67,0
108-118,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0
