stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,34.99,646.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.11,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.67,239.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.43,0,0,0,0,0,9.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,31.28,13.21,0,39.52,0,0,0,47.66,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,498.59,149.09,0,0,165.4,0,22.64,7.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.18,0,62.35,0,9.45,0,50.15,0,0,0,0,15.64,0,0,0,0,0,0,0,0,0,0,586.12,131.64,0,0,239.82,0,3.3,0,8.37,50.58,0,3.87,0,0,0,0,0,0
 14-21,0,0,3.37,13.14,40.08,51.08,0,3.83,0,0,1.06,3.39,0,1.92,0,5.43,0,0.93,0,18.65,0,0,3.9,80.91,8.89,9.4,3.91,2,0,18.71,0,12.93,2.5,1.03,20.05,61.59,0,0,23.91,0,0
 24-34,0,0,0,7.9,11.83,6.74,0,4.3,0.94,0,1.16,0.67,0,7.48,0,23.51,0,3.64,0.63,2.51,5.23,0,2.4,198.94,2.28,6.8,14.72,0,0,27.75,0,0.85,9.1,7.92,2.75,65.13,0,0,173.73,0,3.57
 36-46,0,0,1.71,0,2.86,0,0,1.99,0.59,0,0,1.39,0,11.39,0,30.59,0,1.37,5.38,15.9,2.36,0.85,2.03,617.52,0,7.83,14.13,0,0.97,34.54,0.81,0,1.22,0,0,81.12,0,0,105.21,0,0
 48-58,0,0,0,0,8.6,0,0,36.13,0,0,5.58,0.92,0,5.9,0,0.76,0,1.33,2.86,7.8,6.35,0.39,12.5,799.5,0,8.46,3.02,0,0,15.36,0,0,1.18,1.46,0,106.88,0,0,84.48,0,2.96
 60-70,0,0,0.65,0,11,0,0,12.39,2.72,0.63,12.41,11.59,0,0.78,0,9.19,0,0,1.45,19.37,6.64,0,0.67,539.86,0,12.13,2.42,0,0,15.91,0,0,0,0,0,135.59,3.75,4.98,72.66,0.94,0
 72-82,0,0,1.84,0,7.07,0,0,40.56,2.1,0,1.31,8.12,0,3.12,0.72,11.57,1.36,3.3,0,12.67,2.81,0.74,0,428.61,0,3.66,8.1,0,0.72,31.45,0,0,0.57,0,0,75.46,3.96,9.5,97.18,8.31,0
 84-94,0,0,2.41,1.01,40.18,0.83,3.4,21.31,3.43,0.89,5.54,19.38,0,1.02,2.23,17.41,2.83,2.75,0.57,14.97,14.44,0,0,281.29,0,11.89,12.11,0,0,60.96,0,0,0.92,0,0,45.52,10.33,0.68,76.15,16.34,0
 96-106,0,0,3.73,0,24.03,8.12,0.8,28.55,4.08,0,6.68,10.51,0,2.68,1.14,23.1,0,4.18,0,10.46,3.15,1.05,0,320.26,0.6,19.52,0.95,0,0,58.4,0,0,3.44,0,0,14.54,23.59,10.11,99.69,24.52,0.8
108-118,0,0,1.63,0.49,19.29,5.15,3.65,50.63,4.69,0.72,13.19,15.45,0,1.81,0.61,35.23,0,3.51,2.12,16.63,1.69,0,1.84,444.66,0,4.41,12.93,0,0,57.2,0,0,2.29,0,0,22.69,36.08,4.02,94.03,22.97,0
120,0,0,0,1.28,10.72,12.89,0,74.55,2.55,1.58,0,20.07,0,5.91,0,17.74,0,1.12,0,18.73,19.49,0,0,551.07,0,20.69,4.2,0,0,18.88,0,0,6.3,0,0,12.92,18.36,1.56,85.29,38.7,0
