stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.86,40.53,5.14,9.38,0,0,0,3.4,0,0,0,0,0,0,0,10.15,0,0,16.96,49.32,0,0,1.91,2.74,0,3.45,9.04,0,0,26.41,21.08,0,0,0,0
 24-34,0.75,1.63,16.3,0,10.69,0,0.63,0,0,0,0,1.88,0,0.74,0,0,11.69,0,0,15.47,157.99,1.33,3.82,1.67,0,0,8.53,0,0,0,5.33,50.04,0,16.9,0,2.21
 36-46,0,0,19.21,0,17.73,0,0.58,0,2.38,0.82,0,2.05,0,0,0,23.39,46.18,1.99,0.8,12.01,187.42,5.48,9.09,0,0,0,7.69,0,0,0,0,44.97,0,3.55,0,0
 48-58,0,0,6.86,0,52.51,0.62,1.1,1.36,23.07,0,0,0,0,0,0,0.37,27.79,0,0,3.33,212.6,0,2.53,7.37,4.77,0,1.5,0,0.44,0,0,26.2,0,1.3,0,2.94
 60-70,0,0,6.68,0,90.31,5.02,9.43,0.83,18.16,0,0,0,0,0,6.5,0,33.86,1.14,0,1.39,182.96,0,0,0,0,0.66,8.77,0,0,0,0,26.61,0,0.84,0,0
 72-82,0.53,0,12.49,2.77,122.58,8.94,10.14,7.54,14.67,1.01,0,0,0.55,1.39,1.24,0.79,67.11,1.79,4.77,1.66,269.55,0,5.54,2.33,0,3.46,9.82,0,0,0,0,21.44,0,11.56,0,0
 84-94,2.68,0,11.83,0,74.71,0,0,0,27.75,0.69,0,1.45,3.74,0.86,0,0,31.14,0,0.92,6.42,119.4,5.65,0,1.86,0,0,12.93,0,0,0,0,24.12,3.03,0,0,0
 96-106,0,0,12.15,7.36,37.26,0,0,0,14.82,0,1.32,0,0,0,0.57,0,33.43,1.41,0,1.7,84.8,0,3.08,1.36,0,0,9.22,0,0,0,0,2.38,2.48,6.08,0,0
108-118,2.91,0,8.47,0.9,74.68,0.51,1.09,0.73,28.55,0.98,0,0,2.32,1.33,2.43,2.84,34.54,2.81,3.9,2.98,122.91,0.55,0,2.34,0,3.57,8.6,0,0,0,0,1.2,2.66,2.43,0.7,0
120,0,0,10.52,1.71,44.83,0,10.7,2.83,2.24,3,0,0,0,0,5.34,0,14.21,3.22,4.59,11.36,257.96,4.6,14.66,0,0,0,3.05,0,1.13,1.64,0,15.07,0,2.93,0,4.77
