stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord,xanthophores
  3-4,17.84,874.05,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0
  5-6,30.5,561.95,0,0,0,0,0,0,0,0,0,0,14.78,0,0,33.97,0,0,0
  7-9,7.8,6.93,4.01,0,0,0,52.1,0,0,0,0,0,49.04,0,19.74,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,71.68,0,14.73,0,0,0,0
 14-21,0,0,0,0.95,0,0,0,0,0,0,0,0,3.48,0,0,0,0,0,0
 24-34,0,0,0,0,1,0,0,0,0.81,0.95,0.59,0,3.58,0.6,0,0,0.69,0.71,3.7
 36-46,0,0,0,0,0,0,0,0.7,0,0,3.92,2.05,6.17,0,0,0,0,0,2.01
 48-58,0,0,0,0,0,0,0,0,0,4.67,2.73,0.46,0,0,0,0,0,0,4.07
 60-70,0,0,0,0,1.25,0,0,0.65,0,0,0,0,1.18,0,0,0,0,0,14.51
 72-82,0,0,0,0,1.45,5.3,0,0,0,0,0,0,0,0,0,0,0,0,10.26
 84-94,0,0,0,0,2.49,0,0,0,0,1.5,0.91,0.7,2.64,0,0,0,0,0,5.33
 96-106,0,0,0,0,0,0,0,0,0,1.93,0,0,0,0,0,0,0,0,4.64
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84
120,0,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0,0,0,0
