stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,14.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.35,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,5.37,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1,0,0,0,0,0,0,19.52,0,0,0,0,0
 14-21,0,0,2.9,78.93,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,7.03,0,1.23,0,0,0,7.62,0,5.9,0,0,0,0
 24-34,0,0,0.94,29,0,4.19,0,0,0,1.63,0,0,3.79,0,0,0,0,4.02,0,0,39.59,0,1.58,0,0,0,6.92,0,5.6,0,0,6.5,0
 36-46,0,0,0.65,14.14,0,6.65,0,0,0,0,0,0,1.37,0,0,0,0.61,4.65,0,1.51,92.06,0,0,0,0,0,3.42,0,3.79,0,0,1.96,0
 48-58,0,0,0.81,8.5,0,5,0,0,0.46,3.45,0,0.51,1.54,0,0,0,0.54,3.38,2.63,0,93.88,0,1.09,0,0,0,0,0,8.1,0,0,3.46,3.2
 60-70,0,0,2.29,12.43,0,5.18,0.62,0,0,3.52,3.72,0,11.95,0,0,1.41,0,3.76,0,1.95,91.21,0,1.27,0,0,0,4.67,0,10.8,0,0,3.46,0
 72-82,0,0,0,48.07,0,5.25,0,0,0.56,6.85,0.51,0,8.15,0,0,0,0,2.98,0,0.96,81.43,0,0,0,0,0,6.61,0,9.81,0,0.56,2.71,0
 84-94,0,0,1.48,38.79,0,13.53,0,0.91,0,13.01,1.92,0,11.19,0,1.11,0,0,2.22,0,10.9,62.77,0,0,0,0,1.01,14.65,0,2.74,0,0,0.59,0
 96-106,0,0,4.76,32.03,0,3.26,0,0,0,8.19,6.59,0,28.44,2.43,0,9.85,0,19.57,0,0,67.16,0,0.57,0,0,0,26.39,2.21,4.81,0,0,1.42,0
108-118,0,0,8.45,40.12,0,1.97,0,0.99,0,5.21,5.68,0,26.09,5.1,1.25,2.3,0,3.4,0,0,57.42,0,0.59,0.92,0,0,23.39,1.04,1.28,0.46,0,6.77,0
120,0,0,8.37,42.93,1.71,0,0,2.54,0,1.41,9.12,0,13.45,3.57,0,0,0,32.61,0,0,129.33,3.77,0,0,0,0,14.09,0,0,0,2.24,3.45,0
