stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0,5.75,0,0,0.84,0,0,0,1.26,0,0.89,0,0.96,0,0,0.84,0,0,0.87,12.68,0,0,0,0,6.71,0,5.66,0,0,0,0
 24-34,0,0,7.11,0,0,4.28,0,1.11,0.61,0,0,0,0,0.7,0,0,0,0,0,0,26.17,0,5.89,1.69,0,14.01,6.57,5.53,0,0,0,0
 36-46,0,0,1.64,0,0,6.85,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,27.1,0,9.13,0,0,31.28,8.54,10.95,0,0,0,0
 48-58,0,0,1.78,0,0,87.92,0,1.67,0,3.53,0,0,0,0,2.42,0,2.09,0,0,0.52,91.39,0,7.28,5.29,0,3.09,3.91,24.26,0,0,0,0
 60-70,0,0,4.58,0,0,1089.06,0,0,0,1.61,0,0,0,0,13.74,0,5.85,1.53,0.63,4.43,208.53,0,10.58,0.95,0,6.59,9.59,17.44,0,0,0,0
 72-82,2.25,0,4.17,0,0,1408.96,0.58,0,4.56,10.37,6.19,0,0.59,0,8.74,0,8.31,0,8,2.99,399.51,0.57,23.1,7.64,0,12.41,1.43,12.8,0,0.52,0,0
 84-94,0,1.01,8.81,0,2.83,861.52,0,0.97,1.13,25.14,0.76,0,0,0,11.92,0.83,10.92,0,0,3.95,306.21,0,21.54,15.36,0,21.85,4.19,16.46,0,0.84,0.8,2.21
 96-106,0,0,8.55,5.04,0,735.4,0,0.89,0,15.93,0.67,0,0,0.77,22.81,4.03,20.28,0,0,1.52,333.87,0,28.41,12.84,0.83,8.1,0,11.31,1.59,0,0,0
108-118,0,0.49,11.53,0,1.39,627.07,0.51,0,0,10.43,1.55,1.03,0,0,23.73,4.5,10.76,0,2.81,0,424.99,0,24.58,14.01,3.53,12.81,2.19,5.92,0,0,2.17,0
120,0,0,2.07,0,0,439.44,3.5,0,0,3.23,9.69,0,0,0,10.69,0,14.32,1.72,0,1.82,619.69,0,36.54,18.16,0,1.14,5.02,0,0,0,0,1.8
