stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,125.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0,0,0,0,0,0,0
  5-6,23.36,127.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.92,0,0,0,0,0,0,0,0
  7-9,0,0,20.38,0,0,0,5.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9,0,0,0,28.2,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,123.68,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.74,11.92,0,0,7.09,0,7.72,0,0,0,0,0,0,0,0
 14-21,0,0,1.03,19.59,3.45,0,0,0,0,0,0,0,9.25,0,0,0,0,8.99,0,0,4.61,12.65,18.54,0,0,0,0,4.78,0,0,61.9,0,0,0,0,0
 24-34,0,0,0,1.34,0.87,0,1.91,0,0.6,0,1.11,0,13.4,0,0,0,0,50.68,0,0,5.54,51.28,0,0.97,1.07,0,0,5.81,0,0,50.42,0,0,0.68,0,0
 36-46,0,0,0,0,1.3,0,7.04,0,0,0,0,0,10.47,0,0,0,0,136.11,1.03,1.26,6.08,106.43,0,3.7,0,0,3.38,3.22,0,0,34.98,0,0.85,3.19,0,0.7
 48-58,1.15,0,0,9.32,6.03,0,47.2,0,0,6.04,12.6,0,20.64,0,0,0,0,357.47,10.72,0.55,4.75,168.27,0.6,2.58,1.81,0,0,1.35,0,0,14.96,0,3.07,19.01,0,1.36
 60-70,0,0,0,5.5,0,0,46.63,0,0,10.74,14.62,0,54.03,0,0,1.66,0,770.49,0,5.46,13.41,227.2,0,0,1.34,0,8.84,0.67,0,0,18.92,0,14.44,8.52,1.46,0
 72-82,0,0,0,17.45,0,0,69.18,2.01,0,31.52,34.23,0.62,90,0,0.7,2.35,0,1572.65,0.56,9.56,40.53,435.52,0,1.51,1.96,0,23.96,1.11,0,0,9.99,0,62.68,107.21,0,0
 84-94,0,0,0,20.55,7.93,3.14,66.14,0,0,22.73,3.24,5.73,61.81,0.84,0.69,0.66,0,1022.84,2.35,21.81,14.24,376.21,2.69,2.5,5.2,0,21.06,0,0,0,1.73,1.75,17.38,102.45,5.46,0
 96-106,0,0,0,8.99,24.57,0,113.15,2.7,2.55,30.34,27.58,14.17,124.82,2.72,0,0,9.19,1167.8,8.43,8.32,26.09,436.62,3,2.43,12.81,0,53.28,3.22,5.88,1.62,12,0.67,64.86,157.56,3.29,0
108-118,0,0,0,18.13,0,5.98,57.47,0,2.46,17.49,32.45,9.47,81,2.71,0,0,0,1434.47,6.99,15.56,34.35,393.5,0,0.95,7.19,0,54.66,6.9,0,1.27,12.96,7.04,17.5,155.8,3.16,0
120,0,0,0,32.57,0,0,44.63,0,0,10.33,10.04,4.92,52,0,7.64,0,0,1320.26,0,0,11.36,559.93,0,0,1.55,0,9.21,0,0,1.22,11.96,0,11.07,187.14,0,0
