stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,1.82,34.07,2.71,0,14.76,0,0,0,0,0,0,0,0,0,0,5.58,0,2.11,136.48,0,0,3.21,29.86,10.04,0,20.46,16.45,0,0,0,0
 24-34,0.67,0.59,4.87,1.73,0,18.51,0,1.15,1.36,0,0,0.62,2.34,0,1.08,0,7.99,0,1.84,139,0,0,2.99,9.44,0,0,3.28,37.01,0,0,5.82,0.61
 36-46,0,0,0.9,0,0,30.04,0,0,4.82,0,0,0,0,0,0,2.76,8.42,0,1.88,117.6,0,0,1.03,0,0,0,0,14.24,0,0,1.45,0
 48-58,0,0,2.12,12.99,0,31.1,0,2.71,13.22,0,0.56,0.4,0,0,0,0,20.16,0.5,3.42,96.37,0,0,0,0.66,0,0,0,28.67,0,0,0.45,0
 60-70,0,0,4.24,64.4,0,32.12,0,0,0.85,0,0,0,0,0,0,0,17.84,1,0.77,95.46,0,0,0.96,0,0,1.65,0,3.2,0,0,1.55,0
 72-82,0.86,0,0.5,231.94,0,37.27,0,0,3.07,0,0,1.88,0,0,0,1.19,11.48,0,0.52,74.95,0,0,0,0,0,0,0,3.69,0,0,0,0
 84-94,1.33,0,3.09,181.59,0,10.33,0,0,2.59,2.72,0,3.49,0.58,2.68,0,0,8.01,0,0.63,61.45,0,0,0,1.76,0,2.33,0,2.91,0,0,0.57,0
 96-106,0,0,1.83,368.83,0,17.62,0,8.48,0.72,1.48,0,0.66,0,0,0,0,7.06,0,3.41,48.32,2.22,0,0,0.62,0,0,0,4.12,0.67,4.09,0,0
108-118,0,0.57,4.07,299.07,0,17.08,0.55,1.34,0.64,3.05,0,0.44,1.14,0,0,0,11.51,0,7.82,39.04,0,0.64,0.56,0,0,0,0,0,0,0,0,2.16
120,0,0,4.75,278.65,1.89,40.02,0,0,9.15,0,0,6.97,2.13,0,0,0,9.87,0,0,65.62,0,0,0,0,0,0,0,0,0,0,4.29,0
