stage,eye,fin.epithelia,glial,immune,mesenchyme,neural,spinal.cord
 14-21,0,0,0,0,1.55,8.26,0
 36-46,0,0,0,0,0,0.6,0
 48-58,2.41,0,0.82,4.27,0.55,13.52,0.87
 60-70,0,2.25,0,0,0.58,1.17,0
 72-82,3.99,0,2.84,0,0,1.4,0
 84-94,4.23,0,0,0,0,6.13,0
 96-106,0,0,0,0.71,0,0,0
120,2.96,0,0,0,0,4.38,0
