stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,6.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.86,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,5.85,0,0,0.99,32.95,0,0,0,0,0,0,0,0,4.76,4.25,0,0,0,0,0
 24-34,0,0,0,17.13,0,0,15.33,0,6.38,0.99,12.9,0,0,14.37,0,0,0,0,0,0,18.21,0,0,0.75,2362.2,10.95,0,0.69,0,0,0.7,0,0,5.74,282.66,0,0,0,0,0
 36-46,0,0,0,15.85,0,0,55.13,6.26,1.58,1.24,442.98,0,0,13.02,5.27,0,2.15,0,1,0,76.29,1.24,4.64,11.21,13710.12,29.24,2.21,5.59,0,0,2.06,3.52,4.69,0,2340.32,0,0.85,15.81,0,1.02
 48-58,0,0,1.48,30.86,7.12,0,203.05,9.46,2.29,5.59,1215.69,0.42,0,17.38,0.4,0,15.25,0.79,3.95,10.52,169.05,0.48,10.12,26.24,6160.77,38.21,2.44,4.37,0,0.59,1.78,0,7.87,0,1952.39,0,1.28,9.53,0,9.29
 60-70,0,0,0,15.48,0,0,180.7,3.26,9.01,9.64,1174.11,0,1.75,22.17,2.42,0,3.41,0,0,0.59,277.45,0,20.36,17.55,3331.67,15.64,0.62,3.61,0,0,2.22,1.84,0,0,1018.85,0,2.72,18.49,0.71,2.64
 72-82,0,0.93,0,14.3,10.25,0,170.64,0.82,3.38,3.9,739.63,0.79,0,45.75,4.88,0,0.5,0,0.62,1.13,248.38,0,14.84,16.85,2033.31,4.25,2.99,6.85,0,0.84,0,0,3.1,0,295.18,5.11,4.28,23.39,4.34,4.56
 84-94,0,0,0,15.59,0,0,149.35,5.15,2.94,10.67,571.86,13.55,0,19.95,6.43,3.55,0,0,0,0,232.5,0,10.39,15.97,1481.72,14.84,0,15.46,0,3.75,0.61,0.8,1.43,0,332.11,0.72,8.66,17.75,4.21,0
 96-106,0,0,0,18.84,3.82,0,99.86,3.48,2.39,8.05,381.35,2.8,0,28.81,16.24,2.3,2.85,1.11,0.61,0,137.42,0,2.66,12.06,919.69,5.45,0,22.55,0,1.92,2.88,0,0,0,127.56,4.12,4.06,26.51,6.99,0
108-118,0,0,0,30.14,0,4.33,62.99,3.12,4.58,11.84,340.05,1.22,0,14.47,6.77,0.45,14.46,1.26,1.04,4.41,106.91,0,8.24,2.37,1316.47,1.26,1.84,19.35,0,1.28,0.5,3.1,0,0,61.79,1.35,2.89,15.23,9.07,0
120,0,0,0,17.59,0,0,43.46,15.14,1.06,0,381.9,0,0,28.15,2.44,0,0,0,5.36,0,108.5,0,11.74,10.22,1360.74,1.17,0,23.01,0,2.03,4.53,0,0,0,88.82,0,5.87,15.19,2.64,0
