stage,fast.muscle,muscle,neural,presomitic.mesoderm,somites
 14-21,0,0,1.45,3.09,1.69
 24-34,0,2.68,0,0,2.96
 48-58,0,0.53,0,0,0
 72-82,2,0,0,0,0
108-118,0,0.48,0,0,0
