stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mural.cell,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.62,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,18.34,13.31,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,13.33,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,11.03,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,2.92,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.68,1.33,0,0,0,0,0,0,0,0
 72-82,0,0,4.18,0,0,2.28,0,0,4.72,2.1,0,6.56,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.51,0,0,10.5,1.79,0,0,0,0.7,1.1,4.8,0,4.18
 96-106,2.2,0.92,10.16,0.7,0,19.47,0.78,0,49.81,3.89,1.29,20.91,0,0,0,0,1.18,6.67
108-118,0,0,8.93,0,0.49,13.88,1.31,1.14,81.97,2.84,1.16,16.22,0,0,0,0,0,0
120,0,0,23.08,0,0,11.02,0,0,56.32,0,0,10.99,0,0,0,0,0,0
