stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,38.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,40.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
  7-9,10.05,0,0,3.52,0,0,0,30.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.99,0,0,0,26.15,0,3.26,0,0,0,0,0,0,0,0,0
 10-12,0,14.85,0,13.13,0,0,0,73.53,0,0,0,0,3.33,0,0,0,0,3.73,0,0,0,0,0,284.23,5.45,0,0,56.09,0,0,0,0,12.89,0,0,0,0,0,0
 14-21,0,0,0,4.73,12.76,0,0,11.91,0,0,2.04,0.97,0,11.39,0,0,0,0,0,12.85,0,0,14.35,111.47,0,0,0,0.95,0,4.29,7.38,0.85,21.25,21.92,0,0,0,0,0
 24-34,0,0,0,0.81,11.18,7.38,0,18.06,0,0,1.29,0,0,2.16,0.63,0,0.7,2.07,2.59,21.91,0,0,17.84,129.82,0,0,1.81,0,0,6.31,0,2.98,3.9,30.69,0,0,0,0,0
 36-46,0,0,0,0,9.71,11.22,0,17.6,0,9.29,2.13,0,0,0,0,0.74,0.8,0,0,18.12,0,0,6.07,121.86,0,0,1.54,0,0,52.66,0,0,0,8.5,0,0,0,0,0
 48-58,0,0,0,0,6.02,16.58,0,20.74,6.5,10.3,2.79,0,0,13.17,0,0,0,0,0,54.95,0,0.53,4.39,40.66,0,0,2.34,0,0,49.38,0,3.73,0,5.55,0,0.64,1.27,0,0
 60-70,0.81,0,0,0,31.1,43.57,0,25.55,0,37.25,9.79,0,0,0,0,0,0,0,0,147.22,0.75,11.31,2.81,36.43,0,0.88,8.31,0,0.71,111.97,0,0,0,3.93,0,1.77,0,0,3.3
 72-82,0,0,0.5,0,25.94,185.72,0,15.29,0.53,24.99,9.57,0.67,0,0.86,0,0,0,0,0,180.41,0.79,0,4.56,40.01,0,0,7.17,0,0,59.13,0,0.57,0,1.27,0,0.57,0,1.42,0
 84-94,0,0,1.71,0,50.01,231.41,0,20.56,14.62,12.69,7.62,0,0,0.76,1.72,0,0.73,0,0,183.57,0,0,3.25,23.31,0,0,24.34,0,0,279.76,0,0.96,0,0,1.06,0.69,8.02,0,0
 96-106,0,0,1.89,0,38.31,192.94,0,13.06,0,30.17,6.83,0,0,0,1.54,0,0.88,0,0,169.44,0.56,2.61,1.53,52.51,0,0,37.59,0,0,176.05,0,1.32,0,0,1.17,0.78,0,0,0
108-118,0,0,0,0,80.1,130.52,2.72,19.47,7.59,31.05,23.14,0.45,0,0,3.66,1.01,1.67,4.07,0,235.42,0,4.59,8.53,60.11,0,3.5,41.86,0,0,117.99,0,0,0,0,0.58,0,0,3.86,0.48
120,0,0,5.88,0,22.84,121.42,1.89,38.71,4.48,32.37,7.88,0,0,5.68,0,0,1.07,5.29,0,366.63,13.24,0,11.7,100.28,0,19.76,65.85,0,0,24.89,0,0,0,0,0,0,0,0,0
