stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.58,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,16.23,0,0,0,0,0,0,0,0,0,0,0,0,0,100.44,0,0,0,3.54,0,0,0,0,0,4.75,0,0,0,0,0,0
 14-21,1.11,3.32,9.12,0,8.24,0,0,10.44,2.09,2.9,0,0,0,0,0.85,6.96,0,17.46,106.27,0,8.51,0,4.82,0,0,5.32,2.26,7.89,71.53,63.86,0,0,0,0,0
 24-34,2.79,0,5.03,0,20.46,0,0,10.42,1.88,2.83,0,0,0,0,1.47,24.31,0,4.93,318.22,0,137.94,0,0,0,0,0,7.62,0,0.64,142.26,0,0,0.84,0,0.82
 36-46,4.3,0,1.07,0,141.78,0,1.98,24.23,0,0,0,0,1.49,0.85,5.25,23.07,0,4.05,530.45,0,124.41,0,0,0,0,0,16.51,0,0,200.96,0,0.85,0,0,0
 48-58,1.05,0,0,0,617.45,1.24,0,34.81,0,0.59,0,0,0,0.76,2.42,11.96,0,1.01,370,0,69.79,0,0,0,0.57,0,0.86,0.73,0,132.64,0,0,0,0,0
 60-70,0,0,4.05,0,2392.27,0,0,73.72,0,0,0,0,0,0,0.72,17.66,2.57,1.06,359.42,0,72.46,0,0,0,0,0,1.8,0,0,88.84,0,0,0,0.71,0
 72-82,1.39,0,2.45,4.24,2706.94,0,0,69.14,1.48,0,3.31,0,7.77,1.02,0,24.49,2.07,8.98,280.66,0.82,107.96,1.98,0,2.35,0,0,0.51,0,0,74.23,0,0,4.48,1.71,0
 84-94,11,0,3.77,2.13,2355.25,0,0.85,115.49,0.93,0,0,0.74,0,2.78,0,41.12,2.51,1.8,218.92,0.62,127.62,0,0,0,0,0,4.52,0,0,66.6,0,1.78,0,4.92,0
 96-106,3.9,0,11.29,0.58,2250.04,1.81,1.63,162.5,5.3,1.91,0.78,0,0.77,1.26,0,44.15,0,2.59,154.15,0.79,182.26,0,0,0,2.75,0,5.9,0.6,0,37.99,2.08,0,0,1.23,12.97
108-118,2.4,0,9.03,0,1643.65,0.98,0,104.44,0,0,1.33,0,2.39,0,0,56.29,2.99,1.88,290.41,0,127.39,0,0,0,0,0,4.81,0,0,20.3,0,0,1.03,1.77,0
120,0,0,20.64,1.28,1317.62,0,0,27.85,0,0,0,0,17.05,5.56,0,35.1,1.83,0,310.32,0,164.49,3.1,0,0,0,0,0,0,0,8.81,0,3.03,0,10.56,0
