stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,113.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,78.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.15,0,0,5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.21,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,1.35,15.3,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,2.67,0,0.94,0,0,0,1.92,0,0.63,0,0,0,0.66,0,0,0,0,56.45,0,0.69,0,0,0,5.06,0,0.87,1.86,9.64,0,0,0.69,0,0
 36-46,0,0,0,0,2.98,0,2.5,0,0,0,2.85,0,1.77,0,0,0,0.6,0,0,1.95,0,0,0,175.81,0.69,0,0.8,0,0,0,0,0,0,39.64,0,0,0,0,0
 48-58,0,0,0,0,6.9,0,15.31,1.44,5.07,0,14.73,0,0,0,0,8.33,0,0,0,31.05,0,0,0,554.26,2.93,0.85,10.02,0,0,0,0,0,0,50.46,0,0,0.77,0,0
 60-70,0,0,0,0,4.62,0,71.15,0,0,0,121,0,1.64,0,0,0,2.83,2.12,0,44.89,0,0,0.67,1190.37,0,1.81,28.42,0,0,0,0,0.63,0,78.58,0,0,0,0,0
 72-82,0,0,0.64,0,6.75,0.99,94.88,0,0,6.33,164.68,0,1.16,0,0,0,6.7,1.19,0,125.99,0,4.34,3.32,1654.14,0,1.04,110.61,0,0.84,1.5,1.48,2.68,0,67.59,2.31,0.89,0.73,1.53,13.86
 84-94,0,0,0,0,6.7,0,105.08,0,0,1.17,162.39,0,0.82,0.9,0.65,7.66,9.02,0,0,120.89,0,4.73,2.19,1141.99,0.65,3.87,52.18,0,0.6,0,2.14,0,0,44.02,0,1.13,10.12,0,0
 96-106,0,0,0,0,13.76,0.62,99.65,0,1.3,9.39,233.66,0.58,4.18,1.35,0.92,0,10.64,0,0,88.92,0.68,4.45,6.49,1013.77,0,0.9,63.21,0,2.59,2.68,0.7,0,0,37.09,0,2.2,9.17,0,0
108-118,0,0,0,0,2.05,1.55,104.77,0,0.46,0.8,220.05,0,0,0.52,1.52,0,16.9,0,0,126.46,0,4.36,6.7,1065.28,1.97,4.26,117.07,0,0.91,0,3.14,0,0,7.76,0,5.06,2.87,0,1.42
120,1.12,0,0,0,6.95,1.11,147.01,0,2.41,0,422.37,0,6.32,0,2.02,0,15.04,0,0,166.35,1.46,21.77,4.54,1706.84,6.62,0,49.26,0,6.67,0,0,0,0,22.57,0,0,0,0,0
