stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,53.49,753.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.78,0,0,0,0,0,0,0,0,0,0
  5-6,41.02,1016.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.42,6.07,0,0,15.48,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.09,0,0,12.62,0,0,0,0,0,0,0,0,0,31.44,0,0,0,0,0,0,0,0,0,0,0,95.49,5.55,0,0,27.29,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.95,0,0,0,3.51,0,6.84,0,0,0,0,0,0,0,0,0,0
 14-21,0.89,0,2.95,0,45.7,4.66,0,11.14,0,0,0,0.84,0.82,4.11,1.15,0,8.57,0,0.93,2.61,0,18.02,0,0,3.95,171.91,5.5,2.99,5.81,1.18,0,95.15,1.79,0.89,5.05,6.01,55.05,0,0,11.38,0,2.34
 24-34,0,0,0.75,3.65,40.68,5.83,0,51.42,0,4.19,0.74,8.36,2.72,0.67,0.76,13.53,11.43,0,0,1.44,10.8,32.22,4.37,0,25.59,518.29,3.19,12.77,1.64,0,0,148.69,0,1.49,0,4.24,107.92,0,0,30.4,0,7.08
 36-46,0,0,0,0,11.8,0,0,109.06,0.64,3.64,2.07,29.5,2.15,0,3.14,11.22,6.46,3.52,1.85,0,36.36,60.41,1.03,1.66,16.63,688.64,1.32,16.32,0,0,0,198.96,0,1.49,0,0,168.15,0,0,12.41,0.78,10.92
 48-58,1.15,0,0,0.43,17.52,1.66,0,180.75,2.78,1.86,11.81,46.71,2.31,2.16,2.22,14.12,2.21,6.49,1.59,0,16.52,71.34,5.05,0.41,10.31,726.95,1.43,7.37,1.42,0,0.61,88.04,0,0.43,0,0,184.37,0,0,9.23,0,14.6
 60-70,0,0,0.57,0,24.34,0.72,1,381.44,0.9,5.71,5.98,75.07,1.48,0,2.36,24.93,2.47,12.18,5.43,0,18.37,145.9,2.19,2.71,14.17,812.02,0.7,7.04,8.28,0,2.65,128.35,0,9.61,0,0,149.72,0,5.18,16.41,0,34.07
 72-82,0,0,3.02,0,15.02,16.56,0.9,477.68,0,0.8,11.9,61.43,6.69,0.6,4.23,11.79,7.65,12.06,6.14,2.5,15.6,204.46,12.23,2.02,10.95,691.09,0,12.58,3.2,0,1.4,75.34,0,0.49,0,0,89.97,4.22,3.5,18.61,0.59,23.33
 84-94,0,0,5.36,0,47.82,20.82,0,201.68,0.76,11.25,8.71,59.94,7.87,2.44,5.61,20.87,9.73,23.12,3.57,2.47,13.89,152.2,5.1,4.82,4.83,452.97,2.83,5.18,6.49,0,6.67,238.94,0,2.92,0,0,80.02,3.69,4.36,37.49,8.27,14.55
 96-106,1.12,0,0,0,47.23,30.78,6.39,258.71,0,7.05,4.87,76.58,10.09,0,0.73,32.21,13.63,7.2,8.05,10.27,2.68,161.93,11.19,15.17,7.88,461.18,1.62,13.43,13.72,0,3.62,212.3,0,5.47,0,0,45.32,2.25,0,23.9,10.85,15.44
108-118,0,0,5.91,1.13,84.86,20.54,9.2,251.13,0.46,13.69,5.02,71.53,15.49,0,1.44,28.24,11.52,18.92,7.08,10.46,7.49,190.76,8.64,13.87,8.68,671.2,1.61,15.99,16.82,0,5.01,215.09,0,2.43,0.51,0,17.95,8.62,5.61,21.32,5.74,17.66
120,0,0,2.96,4.41,42.37,11.25,2.02,247.29,0,9.65,4.47,81.91,7.7,0,0,30.82,8.05,16.54,8.22,19.76,0,145.83,4.79,5.18,3.76,559.85,2.43,6.87,3.9,0,5.29,148.2,0,0,0,0,4.66,4.1,0,41.03,12.52,0
