stage,epidermis,eye,glial,liver,neural,olfactory,periderm,taste
 24-34,0,0,0,0,0,0.94,0,0
 48-58,0,0,0,0,0.83,0,0,0
 72-82,1.34,2.38,0,2.25,0,0,0,0
 84-94,0,0,0,6.73,0,0,0,2.36
 96-106,0,2.18,0,10.42,2.98,0,0,0
108-118,0,0,0,25.58,1.25,0,2.66,0
120,0,0,18.07,6.53,3.51,0,0,0
