stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,88.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.17,321.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.94,7.03,0,0,0,86.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,121.28,45.16,0,92.67,0,0,41.36,0,0,0,0,0,32.27,0,0,0,0,0,0,0,0,0,0,0,961.68,87.84,0,0,356.71,61.13,15.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,82.16,0,113.19,0,12.34,103.81,0,0,0,0,0,4.38,0,0,0,0,0,3.73,0,0,0,0,0,2170.53,190.85,0,0,1105.51,24.51,30.09,8.55,144.06,0,20.63,11.3,0,0,0,0,0
 14-21,0,0,4.23,1.03,71.93,40.32,8.57,0,0,0,277.03,0,0,1.26,0,0,0,0,0,0,45.06,0,0,16.96,478.94,16.65,25.92,114,25,0,11.91,370.57,379.19,22.36,231.3,1157.22,0,0,4.01,0,0
 24-34,0,0,3.11,1.35,7.28,2.49,18.15,0,1.43,2.39,232.88,0,0,0,0,1.29,3.74,3.52,2.05,0,27.21,0,0,9.69,410.62,4.3,139.26,23.68,0,0,0,0,92.03,0.62,14.58,633.4,0,0,2.5,0,0
 36-46,0,0,0,0,9.09,0,8.3,0,14.09,0.65,197.23,0.61,0,0,0,0,0,0.8,0,0,20.45,0,0,7.7,400.95,0,126.07,20.11,0,3.19,1.47,0,45.9,0,0,469.05,0,0,0,0,0
 48-58,0,0,0,0,2.46,0,39.4,1.02,0,1.9,156.55,0,0,0,0,0,0.74,5.8,0,12.47,21.1,0,0,1.73,231.56,0,73.83,22.93,0,7.17,0,0,11.4,0,0,368.64,0,0,0,0,0.47
 60-70,0,0,0,0,0.68,0,111.87,0,0.63,0.64,133.98,0.75,0,0,1.14,0,2.01,16.98,0,0,27.46,0,0.65,1.87,314.22,0,96.79,44.51,0,8.09,0,0,16.72,0,0,145.71,0,0.8,0,1.62,8.45
 72-82,0,0,2.61,0,5.68,1.19,53.32,0,0.78,0.89,141.09,2.1,0.59,0,0,0,0.78,24.92,0,0,20.78,0,2.8,1.07,175.71,0,124.2,58.14,0,2,0,0,5.99,0,0,69.16,0,0,0,0,0
 84-94,0,0,4.7,4.03,7.58,3.56,32.74,0,0,1.39,119.67,4.7,0.91,0,0,0,3.82,33.9,0,0,11.51,0,0,0,74.46,0,114.18,70.06,0,8.52,0,0,13.31,0,0,93.34,1.38,0,0,0,0
 96-106,0,0,3.83,2.43,6.81,0,26.13,0,0.63,0,98.78,6.23,0,0,2.65,0,0.95,57.1,0,0,18.21,0.71,0,1.8,93.68,0,148.89,85.39,0,19.53,0,0,6.09,0,0,93.24,2.25,0,0,0,0
108-118,0,0,3.03,1.18,3.78,0,23.28,0,0.46,1.46,74.07,1.33,0,0,0,1.16,0,38.3,0,0,20.9,0,1.76,0.86,127.79,0,92.01,56.11,0,18.17,0.42,0,5,0,0,29.21,2.64,0,0,0,0
120,0,0,0,0,3.78,0,17.52,0,1.92,3.99,45.31,1.09,0,0,0,0,14.44,58.06,0,0,4.6,0,0,0,45.75,0,86.87,71.3,0,38.5,0,0,5.05,0,0,16.8,0,0,0,0,0
