stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,84.59,0,0,0,65.22,0,0,0,0,0
 10-12,10.17,0,0,7.87,0,0,0,0,0,0,0,0,0,781.77,0,0,0,88.19,6.22,0,0,0,0
 14-21,0,63.1,0,0,0,0,0,3.99,0,0,1.89,0,0,188.5,1.17,0,0,2.32,0,0,1.86,36.07,0.83
 24-34,0,39.08,0,3.55,0,0.72,0,26.49,0,2.52,6.9,0,4.11,482.98,1.64,0,0,0,3.34,0.62,0,116.99,0.84
 36-46,0,47.74,0,4.84,0,0.57,0,43.93,0,5.52,0.71,0,0,469.69,0,0,1.42,0,1.99,0,0,113.18,1.39
 48-58,0,56.45,0,16.45,0,2.52,0,56.83,0,6.05,1.6,0.52,0,308.37,0,0,22.42,0,0,0,0,60.71,0
 60-70,0,52.98,0,21.09,0,0.91,0,100.19,0,7.65,2.01,0.57,0,170.1,0,0,40.38,0,0,0,0,36.41,0
 72-82,0,32.64,2.26,15.44,0,3.21,0,76.98,0,13.33,0.6,0,0.87,90.4,0,0,56.29,0,0,0,0,15.13,0
 84-94,0,67.64,0,5.31,0,7.09,2.04,49.23,0,13.17,8.48,0,0,69.74,0,0.57,71.53,0,0.66,0,0,4.51,2.4
 96-106,0,30.54,10.25,7.04,3.21,5.45,0,69.2,0,10.92,10.6,0,0.8,64.28,0,0,153.64,0,0,0,0,26.87,0
108-118,0,64.64,0,9.89,0.54,11.9,0,78.4,0,9.19,2.57,0,0,74.84,0,0,76.95,0,1.52,0,0,9.7,2
120,0,96.89,0,1.6,0,13.77,0,139.31,2.35,2.53,34.41,3.43,3.67,147.73,0,0,112.12,0,1.75,0,0,0,0
