stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord,visceral_smooth_muscle
  3-4,9.45,145.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.02,206.23,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.54,0,0,0,0,0,17.13,0,0,4.86,0,0,0,0
 10-12,0,3.34,0,0,0,0,0,5.38,0,0,74.12,0,0,11.45,6.12,0,0,0
 14-21,0,0,0,0.92,2.01,0,1.49,0,2.8,4.26,23.83,0,0.97,0.87,0.93,0.94,5.45,0
 24-34,0,0,2.19,0,3.79,0,0,0,5.57,0,26.04,0,0,0,0,0,8.99,0
 36-46,0,0,0,0,0,0,4.08,0,1.71,0.67,9.38,0,0,0,0,0,4.13,0
 48-58,0,0,0,0,1.02,0,0.5,0,1.39,0,9.85,0,0,0,0,0,0.84,0
 60-70,0,0,0.64,0,10.8,0,4.54,0,3.36,0,5.08,0,0,0,0,0,1.02,0
 72-82,0,0,0,0,0.81,1.3,3.83,0,5.25,0,11.18,0,0,0,0,0,0,0.81
 84-94,0,0,0,0,10.62,0,3.63,0,1.55,0,6.61,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.09,0,1.22,0,2.35,0,6.64,0,0,0,0,0,2.95,0
108-118,0,0,0,0,0.57,0,0,0,6.27,0.59,3.82,0.81,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.12,25.89,0,0,0,0,0,0,0
