stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,2.3,5.4,0,2.89,0,0,0.94,0,0,0,0.81,0,0,3.07,0,0,38.17,0,0.82,9.46,0.91,0.92,11.6,0,0,0,0
 24-34,2.51,1.33,6.28,0,3.19,0,0,0,0.69,0,0,2.27,0.63,0,0.63,0,0,40.02,0,0,10.29,0.6,0,13.28,0,0,0,0
 36-46,0,0,11.93,0,8.42,0,0,10.49,0.59,0,0,5.48,0,0,0,0,0,83.54,0,0,25.86,3.76,0,25.27,0,0,0,0
 48-58,0,0,4.65,0,20.73,0.68,0,22.92,1.64,0,0,0,0.5,0.37,3.69,0,1.02,120.51,0.91,0,9.26,0.4,0,39.77,0,0,0,0
 60-70,0,0,9.18,0,39.97,0,0,12.02,1.02,0,0,0,0,0,2.7,1.01,0,130.39,0,2.92,16.21,1.54,0,22.83,0.61,1,0,0
 72-82,1.4,0,2.23,1.26,43.71,5.92,0,10.72,0,0.52,0.52,0.7,1.53,0,9.38,1.06,0.92,168.81,1.21,0,6.39,0,0,17.41,1.86,0,0,1.49
 84-94,0,0,3.26,0,14.08,2.34,0,6.73,0.97,0,0,1.75,11.69,0,7.42,0,4.8,139.83,2.22,0,13.73,0,0,9.96,1.15,0,0,0
 96-106,0,0,9.97,0,18.77,2.64,0,20.73,0.7,0,0,0,0,0,11.69,0,0,151.34,0.9,0,11.81,2.19,0,7.1,1.08,0,0,0
108-118,0,0,6.2,0,36.47,0.42,1.25,11.85,1.94,0,1.63,0,0.42,0,5.32,0,0.71,108.55,0,0,13.12,0,0,3.94,0.44,0,1.1,0
120,0,0,11.16,0,9.51,0,0,18.81,2.11,0,2.32,0,1.12,0,19.38,2.91,0,176.72,0,1.98,1.37,0,0,2.31,1.22,0,0,0
