stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,98.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,50.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.03,0,0,0,3.65,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.15,8.01,2.43,11.05,0,0,0,5.06,0.81,0,1.71,0,0,10.1,0,5.71,172.86,5.44,0,0.99,5.66,4.36,20.87,1.37,10.5,60.97,0,0,0
 24-34,0,0.65,0.65,0.65,1.21,5.72,0,0,0,1.93,0,0,0,0.63,1.43,10.2,0,1.89,81.7,0,0.73,0,0,0,0,0,0,17.14,0.73,0,0
 36-46,0,0,0,0,0,9.86,0,0,0,0.76,0,0,0,0,0,10.77,0.57,2.21,69.29,0.58,0.68,0,0,0,0,0,0,22.31,0.99,0,0
 48-58,0,0,0,0,0,20.89,0,0,0,8.71,0,0,0.37,0,0,9.58,0,1.87,35.75,0,0,0,0,0,0,0,0,6.65,0,0,1.88
 60-70,0,0,0,0,0,6.25,0,0,0,1.52,0,0,0,0,0,3.18,0,0,23.75,0,0,0,0,0,0,0,0,3.76,0,0,0
 72-82,0,0,0,0,4.04,11.03,0,0,0,3.68,0,0,0,0,0,4.35,0,0.52,12.86,0,0,0.88,0,0,0,0,0,0,0,0.71,0
 84-94,0,0,0,2.58,0,10.99,0,0.63,0,7.21,0,0.58,0,0,0,5.85,0,0,3.03,0,0,0,0,0,0,0,0,0,0.66,0,0
 96-106,0,0,0,6.38,0,8.64,0.9,0,0,1.51,0,0,0,0.72,0,4.18,0,0,12.17,0,0,0,0,9.14,0,0,0,0,2.84,0,0
108-118,0,0,0,1.66,0,4.51,0,0,0.59,2.64,0,0,0,0,0,4.92,0,1.45,25.28,0.44,0,0,0,1.34,0,0,0,0.78,1.1,0,0
120,0,0,0,2.13,0,0,0,0,0,2.39,0,0,0,0,3.84,1.41,0,1.57,13.94,0,0,0,0,0,0,0,0,0,0,0,0
