stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,8.12,0,0,0,0,0,0,0,12.67,0,0,0,0,0,24.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.18,0,0,3.43,0,0,0,0,14.93,0,0,0,0,0,4.81,6.53,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,0,0.96,0,3.25,0,0.82,0,0,2.33,0,0,0,0
 24-34,0.84,0,1.36,0,0.98,0.72,0,0,0,0,0,0,0.71,0,5.79,60.14,0,6.35,0,0,0,0,9.93,0,0,0,0
 36-46,0,0,0,0,1.53,5.58,0,0,0,0,0,0,4.72,0,14.44,79.33,0.88,8.23,0.75,0,0,0,31.09,0,0,0,0.78
 48-58,0,0,0.67,0,24.05,4.44,0.73,1.82,0,0,0,1.59,10.81,1.31,3.54,189.92,1.42,2.76,0,0,0,4.68,22.83,0,1.43,0,0
 60-70,0,0,0,0,42.21,5.15,0,1.28,0,0,0,0,41.95,0.99,0.67,238.62,1.37,2.38,0,0,15.37,0,25.77,0,0.9,0,0.77
 72-82,0.86,0,2.11,6.37,96.73,5.1,0,2.31,0,0,1.12,0,24.91,3.86,4.35,232.77,0,4.57,0,0,25.94,3.62,14.28,0,0,0,7.41
 84-94,0.66,0,0.93,0,79.65,0.87,0,0.55,1.46,0,0,0,47.68,11.7,5.88,166.35,0,4.42,0,0,7.06,0,7.64,0,1.27,0,14.95
 96-106,0,0,0.6,0,28.54,2.32,0,3.94,1.96,0,0,0,11.82,2.2,7.5,140.98,0,15.71,0,0,34.36,0,8.45,0,2.05,0,3.71
108-118,0,0,2.32,0,28.88,7.5,4.83,4.35,0,0,0,0,11.69,9.44,9.32,123.71,0.48,0,0,0,84.7,0,12.66,0.67,3.27,0,3.76
120,0,0,3.62,0,45.61,9.57,0,0,0,0,0,0,62.35,16.65,5.56,239.48,0,2.28,0,0,155.16,0,17.27,0,0,4.27,14.31
