stage,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle
  5-6,8.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,25.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.16,5.73,0,0,0,0,0.82,0,1.83,0,0.96,0,1.02,33.66,0,0,6.73,6.11,0.8,0,0,0,0,1.7,0,1.3,0,0
 24-34,0,0,1.44,5.57,0,0,0,0,3.49,1.34,0.77,0,1.3,0,1.41,18.21,1.62,0.89,0,3.57,0,0,0,0,0,0,0.66,0.87,0,0
 36-46,0,0,0,0,0,0.65,0.67,0,0,0,2.67,0,0,0,2.13,11.34,5.57,0,0.96,0.9,0,0,0,2.1,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,2.14,0,1.94,0,0,0,0,5.77,3.52,2.51,0,0,0,0,1.14,0.4,2.53,0,0,0,0,0
 60-70,0,0,0,0,0,1.2,0,0,0,0,2.97,0,0,0,0,1.99,7.85,0,0,0,0,0,0,0,0,0,1.7,1.26,0,6.37
 72-82,0,0,0.56,0,0,0,0,0,2.49,0.5,1.6,0,0,0,0,0.92,2.94,0.63,0,7.11,0,0.75,0,0,0,0,2.15,0,0,1.19
 84-94,0,0.66,0,0.57,1.39,0.58,0,0,4.11,0,0,0.92,0,0,0,0.74,3.58,0,1.4,0,0,0,0,0,0,0,0.73,3.32,0,1.13
 96-106,0,0,0,0,0,0,0,0,4.75,0,2.59,0,0,0.9,0,1.94,13.03,0,0,6.02,0,0,1.23,0,0,0,0.71,0,4.81,4.18
108-118,0,0,0,1.63,6.31,0,0,0.73,16.24,0,0,0,0,0,0,3.56,21.57,6.85,0,1.44,2.09,0,0.86,0,0.48,0,1.49,0,0.62,5.4
120,0,0,0,0,1.58,1.63,0,0,14.33,0,0,0,0,0,0,0,5.61,0,0,0,0,0,0,0,0,0,0,0,2.83,0
