stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,2723.59,13988.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.52,0,0,0,0,0,0,0,0,0,0,0
  5-6,4429.21,12891.31,0,0,0,0,0,0,0,0,0,0,0,221.15,0,0,0,0,0,0,0,0,0,0,530.64,156.29,0,0,251.61,0,116.72,0,0,0,0,0,0,0,0,0,0,0
  7-9,2438.5,659.57,0,586.13,0,18.9,0,2664.99,0,0,0,0,0,1687.85,0,0,0,0,0,0,0,0,0,0,13296.76,1808.78,0,0,12197.56,0,18.45,148.54,0,13.28,0,0,0,0,0,0,0,0
 10-12,37.57,711.01,0,1353.59,0,147.62,0,3332.67,0,0,0,0,0,289.62,0,0,0,0,0,0,0,0,0,0,14305.11,1570.93,0,0,10237.92,0,18.25,29.66,32.91,1991.82,0,37.93,73.1,0,0,0,0,0
 14-21,3.54,3.22,1.38,126.22,859.42,640.07,0,45.26,0,0,0,27.19,195.55,3.25,8.27,0,10.12,0,0,0,295.5,1.25,0,215.36,667.1,165.72,7.25,2.23,82.28,0,35.49,3.98,1032.74,102.94,0,246.58,760.19,0,0,109.28,0,0
 24-34,0,0,0.65,22.13,81.65,37.9,0,62.24,0,0,1.15,52.94,71.25,0,4.46,0,0.6,0,0,1.37,102.52,0.74,0,22.22,304.76,6.43,11.13,3.93,0,0,3.85,0,2.33,23.05,1.57,49.88,235.48,0,0,219.98,0,0.69
 36-46,0,0,0,3.19,32.54,3.36,0,56.68,0,0,0,22.57,18.94,0,5.47,0,0,0,0,10.62,135.87,0,3.15,27.45,275.74,1.15,7.35,10.88,0,1.94,0.79,0,0,7.01,0,0,278.65,0,0,56.51,0,0
 48-58,0,0,0,0.42,42.98,1.08,0,90,0,0.89,6.53,23.94,20.24,0.75,15.49,0,0,0.51,0.52,7.05,198.12,0,1.33,20.32,257.59,0,5.35,8,0,0,0.43,0,0,1.86,1.21,0,174.75,0,2.02,27.52,0.78,0
 60-70,0,0,0.7,0,55.06,0,0,40.21,0,0,6.08,6.16,22.45,0,8.63,0,6.93,0,0,0,207.97,0,1.04,24.93,166.88,0,3.02,1.71,0,0,0,0,0,2.69,0,0,77.6,2.7,1.77,26.82,6.3,0
 72-82,0,0,0.88,0,38.14,1.23,0,58.37,0,0.97,1.28,3.44,15.78,0,11.68,0.61,6.22,0,0,0,247.95,1.59,1.67,18.97,104.75,0,3.12,0.83,0,0.77,2.19,0,0,5.07,0,0,42.72,2.15,2.52,15.94,0.71,0
 84-94,0,0,1.32,0,85.17,0,1.57,48.94,0,0,5.7,12.41,44.62,0,11.7,2.93,14.32,0,0,1.49,172.6,0,0,13.06,122.85,0,3.72,2.62,0,2.56,3.77,1.4,0,3.87,0,0,30.84,19.35,4.61,28.44,3.21,0
 96-106,0,0,0,0,64.25,2.01,0,48.71,0.67,0.78,1.81,8.87,73.27,0,1.33,0,22.71,0,0.75,1.78,155.25,2.79,1.7,11.09,65.95,0,2.28,0,0,1.32,3.78,0,0,2.33,0,0,5.58,22.41,4.37,21.03,1.35,0
108-118,0,0,1.64,0,110.38,2.09,1.26,28.33,5.23,1.54,7.25,14.58,104.27,0,2.59,0,16.91,1.02,0,1.34,160.57,8.91,0,6.65,70.03,0,1.44,3.54,0,7.73,0.47,0,0,0.53,0,0,11.23,45.4,0,33.35,0.91,0
120,0,0,4.34,0,128.22,0,0,17.53,0,17.06,13.97,18.36,82.83,0,0,0,17.76,0,0,0,184.62,1.65,3.51,0,130.78,0,14.55,0,0,0,0,0,0,6.51,0,0,1.34,23.87,29.1,17.37,0,0
