stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,0,59.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.88,33.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,29.82,0,0,0,20.81,0,0,0,0,0
 10-12,0,0,0,10.52,0,0,0,0,0,0,0,0,0,0,26.12,0,0,0,11.99,0,0,0,0,0
 14-21,0,0,0,0,1.03,0,0,0,0,0,0.85,0,0,0,3.27,0,0,0,0,0,0,3.2,0,0
 24-34,0,0,0,0,0,0,0.6,0,0,0,2.1,0,0,0,12.98,0.65,0,0,0,1.03,0.7,3.72,0,0
 36-46,0,0,0,0,0.57,0,1.56,2.06,0,0,2.35,0,0,0.55,14.86,0,1.95,0,0,0,0,0.91,4.04,0
 48-58,0,0,0,0,0,0,4.75,0,0,0,0.71,0,0,0,12.76,0,0,0,0,0,0,1.68,0,0
 60-70,0,0,0,0,0,0,17.35,0.94,0,0,0.73,0,0,0,6.59,0,0,0,0,0,0,2.57,0,0
 72-82,0,0,0,0,0,0,8.41,1.24,0,0,2.21,0,1.42,1.24,22.82,0,0,0,0,0.79,0,19.46,0,3.92
 84-94,0,0,0.81,0,0,1.38,0.69,14.96,0,0,2.59,0.76,0,0,10.8,0,1.79,0,0,5.02,0,6.38,0,0
 96-106,0,0,0,0,0,4.74,9.15,3.4,0.6,0,13.4,0,0,0,15.44,0,0,0,0,0,0,3.09,4.62,0
108-118,0,0,0,0,2.36,1.2,6.1,3.44,0,0.74,4.3,0,0,0,10.24,0,0,0,0,0,0,0,0,0
120,0,0,0,0,2.22,0,0,3.21,0,0,4.75,0,0,0,43.37,0,0,2.49,0,1.19,0,0,0,0
