stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.48,1770.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.79,0,0,0,0,0,0,0,0,0
  5-6,202.07,3110.59,0,6.55,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,0,154.36,8.7,0,0,30.48,0,57.82,0,0,0,0,0,0,0,0,0
  7-9,64.85,108.74,0,98.6,0,0,234.72,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,2050.13,65.47,0,0,587.17,0,3.63,0,0,0,0,0,0,0,0,0
 10-12,0,16.9,0,91.42,0,12.77,129.44,0,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,0,1008.73,29.21,0,0,308.92,0,0,0,38.93,0,8,5.88,0,0,0,0
 14-21,0,0,0,0,9.75,5.11,8.32,0,0,6.63,1,0,0,0,0,0,0,0,0,12.76,0,0,10.51,120.75,3.59,4.57,0,4.95,0,4.72,5.71,0,0.95,8.9,24,0,1.07,0,0
 24-34,0,0,0,0.65,4.74,0,33.33,0,0,14.61,1.61,0,0,0,0,0,0,0,0,23.33,0,0,7.76,389.69,0.7,0,2.21,0,0,18.69,0,0,0,2.41,74.98,0,8.5,0,0.93
 36-46,0,0,0,0.56,0.86,0,62.4,0,1.25,4.82,0,0,0.95,0,0,0,0.64,0,0,25.87,4.32,0,5.29,268.05,0,3.71,6.88,0,0,11.37,0,0,0,0,52.11,0,7.1,0,0
 48-58,0,0,0,0,8.22,0,90.68,0,0,19.12,0.92,0,0.48,0,0.88,0.98,0,2.1,1.66,48.35,0,3.59,4.28,215.48,1.83,2.74,5.01,0,0,4.74,0,0,0,0,58.95,0,3.13,0,5.47
 60-70,0,0,0.82,0,2.55,0,63.99,0,1.28,22.88,0,0,0,0,0,0,0,0,6.42,48.97,0,0,3.59,92.33,0,0,0.91,0,0,1.45,0,0,0,0,22.43,0,1.44,0,0
 72-82,0,0,0.58,0,5.9,0,46.14,0,0.87,9.32,0,0,0,0,0,0,1.53,0,0,14.18,0,1.74,2.93,56.94,1.96,0.5,0,0,0,4.67,0,0,0,0,12.09,3.98,1.59,0,1.08
 84-94,0,0,0,0,0.87,0,8.71,0.66,0,11.26,0,0,2.41,0.71,0,0,0,0,1.25,22.28,0,0,2.54,39.64,0.76,6.73,0,0,0,11.3,0,0,0,0,0,0,1.15,0,0
 96-106,0,0,0,0,1.67,0.8,24.35,0.63,0,13.86,0.66,0,1,0.65,0,1.05,0,0,0,14.22,0,0,1.04,52.48,0,0.83,1.19,0,0,3.42,0,0,0,0,4.18,0,0.66,1.52,0
108-118,0,0,1.56,0,5.96,0,18.82,0,0,22.09,1.99,0,0,0.52,0,0,0,0,0,23.64,0.77,0,1.86,45.83,0,0,0,0,0.95,3.26,0,0,0,0,4.54,0,0,0.54,2.03
120,0,0,0,0,5.28,0,16.88,0,0,6.35,6.31,0,0,1,0,1.59,0,0,0,42.79,0,0,6.05,93.37,0,0,3.15,0,0,0,0,0,0,0,0,0,4.2,0,0
