stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,29.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,32.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.22,39.27,0,0,10.23,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.78,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06,0,0,1.72,57.18,36.15,0,0,4.09,0,0,12.86,0,0,2.27,32.02,0,0,0,0,0
 24-34,0,0,0.97,1.27,0,0,6.86,0,0.64,0,5.26,0,0.82,0,0,0,0,0,7.3,0,0,1.65,531.43,3.29,4.67,0,0,0,1.64,0,0,0,0,185.57,0,0,4.58,0,0
 36-46,0,0,0,0,0,0,32.01,0,0.61,0,12.17,0,0,0,0,0,0,0,8.28,0,0,1.34,1776.19,0,8.86,0,0,0,0.83,3.04,0,0,0,279.3,0,0,1.43,0,3.92
 48-58,0,0,0.42,25.98,0,0,295.55,0.42,11.09,1.64,54.09,0,1.28,0,0,0,0,1.32,26.04,0,4.68,1.97,3615.69,0,3.51,0,0,0,0,0,0,0,0,460.67,0,0,2.77,0,5.53
 60-70,0.81,0,0,3.05,2.27,0,931.05,0,2.73,2,86.07,0,0.69,9.64,0,1.96,2.74,0,113.7,0.67,0.69,7.42,5742.75,0,2.89,0,0,1.21,2.11,0,4.15,1.01,0,493.95,0,1.29,5.16,0,4.39
 72-82,0,0,1.08,25.59,11.09,0,2088.1,0,2.87,5.9,183.24,0,4.01,0.53,0,0,5.32,0,103.21,0,2.84,8.78,7890.28,0,6.4,2.07,0,0,4.98,0,0,0,0,437.74,0,1.97,3.05,1.24,18.14
 84-94,0,0,3.27,35.24,4.53,1.09,1426.13,6.5,0,9.2,112.12,0,0,0,1.3,0.64,0,0,85.37,0,2.23,14.47,4469.15,5.19,3.05,3.06,0,0,13.82,0,0,0,0,292.84,0,9.33,0.8,4.46,7.26
 96-106,0,0,2.84,40.67,31.79,9.83,1810.72,0,12.28,4.99,128.12,4.58,0,1.9,0.75,0,6.87,0,80.11,1.22,2.2,2.74,4394.55,0,6.39,1.39,0,0,28.94,0,0.82,0,0,128.52,1.13,0,5.59,2.18,12.11
108-118,0,0,1,19.22,27.11,0.62,1547.25,1.3,0.85,0,161.15,1.1,0.56,2.45,1.83,0,0,0,70.25,1.14,0,0.92,5122.88,0.48,10.3,4.79,0,5.64,8.51,0,0,0,0,181.06,0,0,14,0,0
120,0,0,6.6,63.7,1.8,0,1357.05,0,0,0,170.55,0,0,4.1,0,0,0,0,83.39,0,8.17,3.28,6299.3,0,3.27,1.09,0,3.68,11.04,0,0,0,0,228.33,1.19,0,0,0,0
