stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,hatching_gland,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,14268.9,261558.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16758.01,0,0,0,0,0,0,0
  5-6,31990.37,426647.85,511.94,0,0,0,0,0,739.01,0,0,0,0,0,12453.84,1189.59,0,0,3341.23,14679.65,0,0,0,0,0,0,0
  7-9,2926.07,4886.14,3323.1,0,26.88,0,4940.34,0,1888.33,0,0,0,0,0,166823.91,3632.99,0,0,40212.07,485.31,236.68,0,0,0,0,0,0
 10-12,0,264.6,186.07,0,7.8,0,171.17,0,7.69,0,0,0,0,0,10322.45,195.39,0,0,3005.73,10.82,45.93,0,148.69,0,0,9.81,0
 14-21,0,0,0,54.59,1.18,0,0,29.78,0,0,0,6.91,0,2.97,129.64,13.54,0,4.71,79.62,0,0,7.76,0.87,0,1.32,669.77,0
 24-34,0,0,0,0,0,0,10.25,24.66,0,0,0.6,3.87,0,0.95,60.69,2.45,0,0,0,0.8,0,0,0,0,2.8,186.2,0
 36-46,0,0,0,2.38,0,0,0.82,0.75,0,0,4.66,0.56,0,0,25.53,0,0,0,0,4.62,0,0,0,0,0,39.39,8.21
 48-58,0,0,0,0,0,0,2.45,1.56,0,0,0,1.89,0,0,8.48,0,0,0,0,1.7,0,0,1.1,0,0,21.17,0
 60-70,0,0,0,0,0,0,2.58,0,0,0,0,2.1,0,0,2.95,0,0,3.17,0,0,0,0,0,0,0,9.83,0
 72-82,0,0,0,0,0,0,4.33,0,0,0,0,6.71,0,0,15.68,0,0,0,0,0,0,0,0,0,0,1.42,0.57
 84-94,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,4,0,0,0,0,0.74,0,0,0,0,0,2.14,0
 96-106,0,0,0,0.58,0,0,0,0,0,0.62,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0.6,0,3.39,0
108-118,0,0,0,0,0,1.91,0,0,0,0,0,0,0,0,1.32,0,0.5,0,0,0,0,0,0,0,0,0.69,0
120,0,0,0,0,0,0,0,0,0,1.87,0,0,1.05,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0
