stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,1169.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.35,0,0,0,0,0,0,0
  5-6,79.29,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.08,0,0,0,0,0,7.63,0,0,0,0,0,0,0
  7-9,0,0,0,4.33,0,0,0,11.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.81,14.1,0,0,27.81,0,9.53,0,0,0,0,0,0,0
 10-12,0,0,0,5.18,0,0,0,16.25,0,0,0,0,0,87.91,0,0,0,0,0,0,0,0,0,0,311.33,0,0,0,58.88,0,4.49,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.3,0,0,8.34,0,0,0,7.83,3.54,14.17,0,0,1.13,0,0,0,2,0,0,0,94.76,2.01,1.04,5.96,0,0,58.72,0,27.88,0,0,0,0,0
 24-34,0,0,0,0,2.21,0,0,43.09,0,0,0,9.91,0,4.01,0,0,6.35,0,0.68,7.68,3.72,0,0,11.03,316.46,0,7.12,2.02,0,0,122.57,4.89,75.97,0,0,4.2,0,0
 36-46,0,0,0,0,19.42,1.13,0,121.91,0,1.04,0,32.44,0.56,0,0,0,2.7,1.49,1.35,0,3.12,0,0,0,192.12,0,12.48,1.59,0,0,187.89,7.28,60.73,0,0,0.89,0,2.27
 48-58,0,0,0,0,0,1.99,0,237.13,0,0,0.64,44.02,1.06,2.72,0,0,5.61,0,0.44,3.09,2.99,0,0,2.47,129.45,0.57,6.89,3.96,0,0,110.79,0,50.06,0,0,3.32,0,3.64
 60-70,0,0,0.89,0,0.57,0,0,325.67,0.63,1.68,0,87.53,4.62,0,0,0,1.18,0,0,3.94,5.96,0,0,0,80.94,0.7,3.66,10.12,0,0,71.36,9.51,16.35,0,0,3.15,0,0
 72-82,0,0,3.29,0,3.4,0.96,0,148.99,0,0,0,107.38,13.48,0.52,0.91,0,4.14,0,6.6,2.81,11.72,0,1.45,0,56.83,0,19.21,28.4,0,1.4,35.22,0,20.92,0.79,0,2.88,0,0
 84-94,0,0,1.2,0.82,13.2,3.32,0,145.2,0.76,3.38,0,79.82,46.81,0,1.06,0.67,5.7,0,1.7,0,12.31,1.42,0,1.44,51.04,0,10.45,20.02,0,0,147.26,5.43,3.42,0.85,1.17,0,0,2.4
 96-106,0,0,4.72,0,6.8,6.74,0,138.11,0,0,0,71.27,28.6,1.32,0,0.93,6.02,0,15.7,9.15,11.71,4.64,0.93,0,34.29,0,21.69,23.64,0,0,123.36,2.22,1.9,2.06,0.9,0,0,0
108-118,0,0,6.97,1.31,13.98,2.27,0.45,128.16,0,0.49,0,55.89,31.98,0,0,0,11.98,0,6.39,0.92,10.96,2.35,5.56,0,44.4,1.26,8.72,31.57,0,0,83.46,1.49,1.66,1.4,0,3.33,0.63,0
120,2.23,0,0,0,37.31,0,0,148.9,0,1.56,0,116.55,27,0,0,5.51,9.39,0,10.5,0,0,0,2.47,0,79.53,0,16.63,43.62,0,0,57.56,2.72,10.72,1.19,0,0,0,0
